"agent","agent_is","weight","hierarchy_belongs","source"
"DGI","DeepNN","1","AI","DGI"
"alpha-LoNGAE","DeepNN","1","AI","alpha-LoNGAE"
"GCN","DeepNN","1","AI","GCN"
"ChebNet","DeepNN","1","AI","ChebNet"
"Planetoid*","DeepNN","1","AI","Planetoid*"
"DeepWalk","DeepNN","1","AI","DeepWalk"
"GraphGAN","DeepNN","1","AI","GraphGAN"
"Struc2vec","DeepNN","1","AI","Struc2vec"
"node2vec","DeepNN","1","AI","node2vec"
"LINE","DeepNN","1","AI","LINE"
"Context Based Model","DeepNN","1","AI","Context Based Model"
"BERT + Small Training","DeepNN","1","AI","BERT + Small Training"
"Duet v2","DeepNN","1","AI","Duet v2"
"Cosine similarity function + C128F feature extractor","DeepNN","1","AI","Cosine similarity function + C128F feature extractor"
"Prototypical-Nets + C64F feature extractor","DeepNN","1","AI","Prototypical-Nets + C64F feature extractor"
"MAML++","DeepNN","1","AI","MAML++"
"Baseline++","DeepNN","1","AI","Baseline++"
"Reptile + Transduction","DeepNN","1","AI","Reptile + Transduction"
"MAML","DeepNN","1","AI","MAML"
"Matching Nets + C64F feature extractor","DeepNN","1","AI","Matching Nets + C64F feature extractor"
"Prototypical-Nets","DeepNN","1","AI","Prototypical-Nets"
"Memory Mod","DeepNN","1","AI","Memory Mod"
"Neural Statistician","DeepNN","1","AI","Neural Statistician"
"Matching Nets","DeepNN","1","AI","Matching Nets"
"SJE","DeepNN","1","AI","SJE"
"Sample Clustering","DeepNN","1","AI","Sample Clustering"
"Cosine similarity function + C64F feature extractor","DeepNN","1","AI","Cosine similarity function + C64F feature extractor"
"PLATIPUS","DeepNN","1","AI","PLATIPUS"
"NAN","DeepNN","1","AI","NAN"
"MH-Parser","DeepNN","1","AI","MH-Parser"
"Holistic instance-level","DeepNN","1","AI","Holistic instance-level"
"MNC","DeepNN","1","AI","MNC"
"DL","DeepNN","1","AI","DL"
"LPRNet basic","DeepNN","1","AI","LPRNet basic"
"HorizonNet","DeepNN","1","AI","HorizonNet"
"CFL","DeepNN","1","AI","CFL"
"DuLa-Net","DeepNN","1","AI","DuLa-Net"
"LayoutNet","DeepNN","1","AI","LayoutNet"
"Scan2CAD","DeepNN","1","AI","Scan2CAD"
"3DMatch","DeepNN","1","AI","3DMatch"
"Graph2Seq-PGE","DeepNN","1","AI","Graph2Seq-PGE"
"GGS-NN","DeepNN","1","AI","GGS-NN"
"Massively Multilingual Sentence Embeddings","DeepNN","1","AI","Massively Multilingual Sentence Embeddings"
"Multilingual Sentence Embeddings","DeepNN","1","AI","Multilingual Sentence Embeddings"
"Monolingual training data","DeepNN","1","AI","Monolingual training data"
"Transfer Learning from VGG16 trained on Imagenet","DeepNN","1","AI","Transfer Learning from VGG16 trained on Imagenet"
"Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50","DeepNN","1","AI","Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50"
"AlexNet + spatial pyramidal pooling + image resizing","DeepNN","1","AI","AlexNet + spatial pyramidal pooling + image resizing"
"Document section-based models + AlexNet transfer learning","DeepNN","1","AI","Document section-based models + AlexNet transfer learning"
"IIC","DeepNN","1","AI","IIC"
"BN LSTM","DeepNN","1","AI","BN LSTM"
"Dilated GRU","DeepNN","1","AI","Dilated GRU"
"Full-capacity uRNN","DeepNN","1","AI","Full-capacity uRNN"
"LSTM","DeepNN","1","AI","LSTM"
"iRNN","DeepNN","1","AI","iRNN"
"St-SS-pGRU","DeepNN","1","AI","St-SS-pGRU"
"BASSNet","DeepNN","1","AI","BASSNet"
"CNN-MRF","DeepNN","1","AI","CNN-MRF"
"PC-DenseNet-161","DeepNN","1","AI","PC-DenseNet-161"
"PC Bilinear CNN","DeepNN","1","AI","PC Bilinear CNN"
" AutoAugment","DeepNN","1","AI"," AutoAugment"
"AutoAugment","DeepNN","1","AI","AutoAugment"
"WS-DAN","DeepNN","1","AI","WS-DAN"
"MPN-COV","DeepNN","1","AI","MPN-COV"
"A3M","DeepNN","1","AI","A3M"
"GoogLeNet","DeepNN","1","AI","GoogLeNet"
"AlexNet","DeepNN","1","AI","AlexNet"
"Inception-V3","DeepNN","1","AI","Inception-V3"
"Hierarchical Semantic Embedding","DeepNN","1","AI","Hierarchical Semantic Embedding"
"RA-CNN","DeepNN","1","AI","RA-CNN"
"Bilinear-CNN","DeepNN","1","AI","Bilinear-CNN"
"PS-CNN","DeepNN","1","AI","PS-CNN"
"Part RCNN","DeepNN","1","AI","Part RCNN"
"SWSA","DeepNN","1","AI","SWSA"
"Mean Teacher","DeepNN","1","AI","Mean Teacher"
"VAT+EntMin","DeepNN","1","AI","VAT+EntMin"
"VAT","DeepNN","1","AI","VAT"
"Pi Model","DeepNN","1","AI","Pi Model"
"GAN","DeepNN","1","AI","GAN"
"G-model","DeepNN","1","AI","G-model"
"GPIPE + transfer learning","DeepNN","1","AI","GPIPE + transfer learning"
"Proxyless-G + co","DeepNN","1","AI","Proxyless-G + co"
"SENet + ShakeShake + Cutout","DeepNN","1","AI","SENet + ShakeShake + Cutout"
"WRN + fixup init + mixup + cutout","DeepNN","1","AI","WRN + fixup init + mixup + cutout"
"ShakeShake-2x64d + SWA","DeepNN","1","AI","ShakeShake-2x64d + SWA"
"WRN-28-10 + SWA","DeepNN","1","AI","WRN-28-10 + SWA"
"Deep pyramidal residual network","DeepNN","1","AI","Deep pyramidal residual network"
"CoPaNet-R-164","DeepNN","1","AI","CoPaNet-R-164"
"DenseNet","DeepNN","1","AI","DenseNet"
"Fractional MP","DeepNN","1","AI","Fractional MP"
"Neural Architecture Search","DeepNN","1","AI","Neural Architecture Search"
"SimpleNetv2","DeepNN","1","AI","SimpleNetv2"
"Wide ResNet","DeepNN","1","AI","Wide ResNet"
"Evolution ensemble","DeepNN","1","AI","Evolution ensemble"
"ACN","DeepNN","1","AI","ACN"
"SimpleNetv1","DeepNN","1","AI","SimpleNetv1"
"ResNet-1001","DeepNN","1","AI","ResNet-1001"
"Stochastic Depth","DeepNN","1","AI","Stochastic Depth"
"RL+NT","DeepNN","1","AI","RL+NT"
"Evolution","DeepNN","1","AI","Evolution"
"Deep Complex","DeepNN","1","AI","Deep Complex"
"ResNet+ELU","DeepNN","1","AI","ResNet+ELU"
"Fitnet4-LSUV","DeepNN","1","AI","Fitnet4-LSUV"
"Tree+Max-Avg pooling","DeepNN","1","AI","Tree+Max-Avg pooling"
"SSCNN","DeepNN","1","AI","SSCNN"
"Tuned CNN","DeepNN","1","AI","Tuned CNN"
"ResNet","DeepNN","1","AI","ResNet"
"Exponential Linear Units","DeepNN","1","AI","Exponential Linear Units"
"BNM NiN","DeepNN","1","AI","BNM NiN"
"Universum Prescription","DeepNN","1","AI","Universum Prescription"
"CMsC","DeepNN","1","AI","CMsC"
"RCNN-96","DeepNN","1","AI","RCNN-96"
"NiN+APL","DeepNN","1","AI","NiN+APL"
"cifar.torch","DeepNN","1","AI","cifar.torch"
"VDN","DeepNN","1","AI","VDN"
"SWWAE","DeepNN","1","AI","SWWAE"
"MLR DNN","DeepNN","1","AI","MLR DNN"
"DSN","DeepNN","1","AI","DSN"
"BinaryConnect","DeepNN","1","AI","BinaryConnect"
"CLS-GAN","DeepNN","1","AI","CLS-GAN"
"MIM","DeepNN","1","AI","MIM"
"Spectral Representations for Convolutional Neural Networks","DeepNN","1","AI","Spectral Representations for Convolutional Neural Networks"
"RMDL","DeepNN","1","AI","RMDL"
"NiN","DeepNN","1","AI","NiN"
"ELC","DeepNN","1","AI","ELC"
"Deep Networks with Internal Selective Attention through Feedback Connections","DeepNN","1","AI","Deep Networks with Internal Selective Attention through Feedback Connections"
"DropConnect","DeepNN","1","AI","DropConnect"
"Maxout Network (k=2)","DeepNN","1","AI","Maxout Network (k=2)"
"DNN+Probabilistic Maxout","DeepNN","1","AI","DNN+Probabilistic Maxout"
"GP EI","DeepNN","1","AI","GP EI"
"APAC","DeepNN","1","AI","APAC"
"DCNN+GFE","DeepNN","1","AI","DCNN+GFE"
"DCNN","DeepNN","1","AI","DCNN"
"RReLU","DeepNN","1","AI","RReLU"
"MCDNN","DeepNN","1","AI","MCDNN"
"ReNet","DeepNN","1","AI","ReNet"
"An Analysis of Unsupervised Pre-training in Light of Recent Advances","DeepNN","1","AI","An Analysis of Unsupervised Pre-training in Light of Recent Advances"
"Stochastic Pooling","DeepNN","1","AI","Stochastic Pooling"
"Improving neural networks by preventing co-adaptation of feature detectors","DeepNN","1","AI","Improving neural networks by preventing co-adaptation of feature detectors"
"Discriminative Learning of Sum-Product Networks","DeepNN","1","AI","Discriminative Learning of Sum-Product Networks"
"Nonnegativity Constraints ","DeepNN","1","AI","Nonnegativity Constraints "
"Local Transformations","DeepNN","1","AI","Local Transformations"
"CKN","DeepNN","1","AI","CKN"
"Discriminative Unsupervised Feature Learning with Convolutional Neural Networks","DeepNN","1","AI","Discriminative Unsupervised Feature Learning with Convolutional Neural Networks"
"Hierarchical Kernel Descriptors","DeepNN","1","AI","Hierarchical Kernel Descriptors"
"Smooth Pooling Regions","DeepNN","1","AI","Smooth Pooling Regions"
"Learning with Recursive Perceptual Representations","DeepNN","1","AI","Learning with Recursive Perceptual Representations"
"An Analysis of Single-Layer Networks in Unsupervised Feature Learning ","DeepNN","1","AI","An Analysis of Single-Layer Networks in Unsupervised Feature Learning "
"PCANet","DeepNN","1","AI","PCANet"
"FLSCNN","DeepNN","1","AI","FLSCNN"
"IncResNetV2 SE","DeepNN","1","AI","IncResNetV2 SE"
"CapsNet","DeepNN","1","AI","CapsNet"
"GPIPE","DeepNN","1","AI","GPIPE"
"SENet + ShakeEven + Cutout","DeepNN","1","AI","SENet + ShakeEven + Cutout"
"PyramidNet-272 + SWA","DeepNN","1","AI","PyramidNet-272 + SWA"
"WRN+SWA","DeepNN","1","AI","WRN+SWA"
"NiN+Superclass+CDJ","DeepNN","1","AI","NiN+Superclass+CDJ"
"HD-CNN","DeepNN","1","AI","HD-CNN"
"Deep Representation Learning with Target Coding","DeepNN","1","AI","Deep Representation Learning with Target Coding"
"Tree Priors","DeepNN","1","AI","Tree Priors"
"Stable and Efficient Representation Learning with Nonnegativity Constraints ","DeepNN","1","AI","Stable and Efficient Representation Learning with Nonnegativity Constraints "
"Receptive Field Learning","DeepNN","1","AI","Receptive Field Learning"
"Cutout","DeepNN","1","AI","Cutout"
"CC-GAN²","DeepNN","1","AI","CC-GAN²"
"Convolutional Clustering","DeepNN","1","AI","Convolutional Clustering"
"Multi-Task Bayesian Optimization","DeepNN","1","AI","Multi-Task Bayesian Optimization"
"C-SVDDNet","DeepNN","1","AI","C-SVDDNet"
"DFF Committees","DeepNN","1","AI","DFF Committees"
"RGB-D Based Object Recognition","DeepNN","1","AI","RGB-D Based Object Recognition"
"Simulated Fixations","DeepNN","1","AI","Simulated Fixations"
"No more meta-parameter tuning in unsupervised sparse feature learning","DeepNN","1","AI","No more meta-parameter tuning in unsupervised sparse feature learning"
"Receptive Fields","DeepNN","1","AI","Receptive Fields"
"Invariant Representations with Local Transformations","DeepNN","1","AI","Invariant Representations with Local Transformations"
"Pooling-Invariant","DeepNN","1","AI","Pooling-Invariant"
"Deep Learning of Invariant Features via Simulated Fixations in Video","DeepNN","1","AI","Deep Learning of Invariant Features via Simulated Fixations in Video"
"Large FC CRF","DeepNN","1","AI","Large FC CRF"
"Harmony Potentials","DeepNN","1","AI","Harmony Potentials"
"Describing the Scene as a Whole: Joint Object Detection, Scene Classification and Semantic Segmentation","DeepNN","1","AI","Describing the Scene as a Whole: Joint Object Detection, Scene Classification and Semantic Segmentation"
"MPP","DeepNN","1","AI","MPP"
"FC CRF","DeepNN","1","AI","FC CRF"
"HCRF+CO","DeepNN","1","AI","HCRF+CO"
"Are Spatial and Global Constraints Really Necessary for Segmentation?","DeepNN","1","AI","Are Spatial and Global Constraints Really Necessary for Segmentation?"
"Kernelized SSVMCRF","DeepNN","1","AI","Kernelized SSVMCRF"
"PMG","DeepNN","1","AI","PMG"
"Auto-Context","DeepNN","1","AI","Auto-Context"
"STF","DeepNN","1","AI","STF"
"TextonBoost","DeepNN","1","AI","TextonBoost"
"PatchMatchGraph","DeepNN","1","AI","PatchMatchGraph"
"EraseReLU","DeepNN","1","AI","EraseReLU"
"Regularization of Neural Networks using DropConnect","DeepNN","1","AI","Regularization of Neural Networks using DropConnect"
"FractalNet","DeepNN","1","AI","FractalNet"
"Network in Network","DeepNN","1","AI","Network in Network"
"Maxout","DeepNN","1","AI","Maxout"
"Convolutional neural networks applied to house numbers digit classification","DeepNN","1","AI","Convolutional neural networks applied to house numbers digit classification"
"AmoebaNet-A","DeepNN","1","AI","AmoebaNet-A"
"NASNET-A(6)","DeepNN","1","AI","NASNET-A(6)"
"SENet","DeepNN","1","AI","SENet"
"DPN-131","DeepNN","1","AI","DPN-131"
"PolyNet","DeepNN","1","AI","PolyNet"
"ResNeXt-101","DeepNN","1","AI","ResNeXt-101"
"Inception ResNet V2","DeepNN","1","AI","Inception ResNet V2"
"JFT-300M Finetuning","DeepNN","1","AI","JFT-300M Finetuning"
"Xception","DeepNN","1","AI","Xception"
"ResNet-152 + SWA","DeepNN","1","AI","ResNet-152 + SWA"
"Inception V3","DeepNN","1","AI","Inception V3"
"DenseNet-161 + SWA","DeepNN","1","AI","DenseNet-161 + SWA"
"Inception V2","DeepNN","1","AI","Inception V2"
"ShuffleNet","DeepNN","1","AI","ShuffleNet"
"MobileNet-224","DeepNN","1","AI","MobileNet-224"
"Inception V1","DeepNN","1","AI","Inception V1"
"SE-ResNet152  WMW","DeepNN","1","AI","SE-ResNet152  WMW"
"Trimps-Soushen","DeepNN","1","AI","Trimps-Soushen"
"MSRA","DeepNN","1","AI","MSRA"
"VGG","DeepNN","1","AI","VGG"
"Clarifai","DeepNN","1","AI","Clarifai"
"AlexNet  SuperVision","DeepNN","1","AI","AlexNet  SuperVision"
"XRCE","DeepNN","1","AI","XRCE"
"NEC UIUC","DeepNN","1","AI","NEC UIUC"
"Random Erasing","DeepNN","1","AI","Random Erasing"
"DBSNN","DeepNN","1","AI","DBSNN"
"Fitnet-LSUV-SVM","DeepNN","1","AI","Fitnet-LSUV-SVM"
"Energy-Based Sparse Represenation","DeepNN","1","AI","Energy-Based Sparse Represenation"
"Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis","DeepNN","1","AI","Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis"
"HOPE","DeepNN","1","AI","HOPE"
"Maxout Networks","DeepNN","1","AI","Maxout Networks"
"COSFIRE","DeepNN","1","AI","COSFIRE"
"The Best Multi-Stage Architecture","DeepNN","1","AI","The Best Multi-Stage Architecture"
"Deformation Models","DeepNN","1","AI","Deformation Models"
"Trainable feature extractor","DeepNN","1","AI","Trainable feature extractor"
"ISVM","DeepNN","1","AI","ISVM"
"Sparse Coding","DeepNN","1","AI","Sparse Coding"
"invariant feature hierarchies","DeepNN","1","AI","invariant feature hierarchies"
"Shape contexts","DeepNN","1","AI","Shape contexts"
"CNN+Gabor Filters","DeepNN","1","AI","CNN+Gabor Filters"
"On Optimization Methods for Deep Learning","DeepNN","1","AI","On Optimization Methods for Deep Learning"
"Deep Fried Convnets","DeepNN","1","AI","Deep Fried Convnets"
"Sparse Activity and Sparse Connectivity in Supervised Learning","DeepNN","1","AI","Sparse Activity and Sparse Connectivity in Supervised Learning"
"Explaining and Harnessing Adversarial Examples","DeepNN","1","AI","Explaining and Harnessing Adversarial Examples"
"CDBN","DeepNN","1","AI","CDBN"
"Supervised Translation-Invariant Sparse Coding","DeepNN","1","AI","Supervised Translation-Invariant Sparse Coding"
"Large-Margin kNN","DeepNN","1","AI","Large-Margin kNN"
"Deep Boltzmann Machines","DeepNN","1","AI","Deep Boltzmann Machines"
"StrongNet","DeepNN","1","AI","StrongNet"
"DBN","DeepNN","1","AI","DBN"
"Reducing the dimensionality of data with neural networks","DeepNN","1","AI","Reducing the dimensionality of data with neural networks"
"Deep learning via semi-supervised embedding","DeepNN","1","AI","Deep learning via semi-supervised embedding"
"Counterfactual Regression + WASS","DeepNN","1","AI","Counterfactual Regression + WASS"
"TARNet","DeepNN","1","AI","TARNet"
"OLS with separate regressors for each treatment ","DeepNN","1","AI","OLS with separate regressors for each treatment "
"BART","DeepNN","1","AI","BART"
"Causal Forest","DeepNN","1","AI","Causal Forest"
"Balancing Neural Network","DeepNN","1","AI","Balancing Neural Network"
"k-NN","DeepNN","1","AI","k-NN"
"Balancing Linear Regression","DeepNN","1","AI","Balancing Linear Regression"
"OLS with treatments as a feature","DeepNN","1","AI","OLS with treatments as a feature"
"DCRNN","DeepNN","1","AI","DCRNN"
"MT-DNN","DeepNN","1","AI","MT-DNN"
"DIIN","DeepNN","1","AI","DIIN"
"Bi-CAS-LSTM","DeepNN","1","AI","Bi-CAS-LSTM"
"pt-DecAtt","DeepNN","1","AI","pt-DecAtt"
"BiMPM","DeepNN","1","AI","BiMPM"
"GenSen","DeepNN","1","AI","GenSen"
"Linear FullPosterior-MR","DeepNN","1","AI","Linear FullPosterior-MR"
"NeuralLinear FullPosterior-MR","DeepNN","1","AI","NeuralLinear FullPosterior-MR"
"SwiDeN","DeepNN","1","AI","SwiDeN"
"MVCNN-MultiRes","DeepNN","1","AI","MVCNN-MultiRes"
"FPNN (4-FCs + NF)","DeepNN","1","AI","FPNN (4-FCs + NF)"
"Variational Shape Learner","DeepNN","1","AI","Variational Shape Learner"
"Parsing R-CNN + ResNext101","DeepNN","1","AI","Parsing R-CNN + ResNext101"
"PGN + ResNet101","DeepNN","1","AI","PGN + ResNet101"
"BERTSUM","DeepNN","1","AI","BERTSUM"
"BERTSUM+Transformer","DeepNN","1","AI","BERTSUM+Transformer"
"Bottom-Up Sum","DeepNN","1","AI","Bottom-Up Sum"
"C2F + ALTERNATE","DeepNN","1","AI","C2F + ALTERNATE"
"GPT-2","DeepNN","1","AI","GPT-2"
"EndDec+WFE","DeepNN","1","AI","EndDec+WFE"
"DRGD","DeepNN","1","AI","DRGD"
"Seq2seq + selective + MTL + ERAM","DeepNN","1","AI","Seq2seq + selective + MTL + ERAM"
"SEASS","DeepNN","1","AI","SEASS"
"RAS-Elman","DeepNN","1","AI","RAS-Elman"
"words-lvt5k-1sent","DeepNN","1","AI","words-lvt5k-1sent"
"ABS+","DeepNN","1","AI","ABS+"
"ABS","DeepNN","1","AI","ABS"
"FTSum_g","DeepNN","1","AI","FTSum_g"
"Re^3 Sum","DeepNN","1","AI","Re^3 Sum"
"Seq2seq + E2T_cnn","DeepNN","1","AI","Seq2seq + E2T_cnn"
"CGU","DeepNN","1","AI","CGU"
"Pointer + Coverage + EntailmentGen + QuestionGen","DeepNN","1","AI","Pointer + Coverage + EntailmentGen + QuestionGen"
"Struct+2Way+Word","DeepNN","1","AI","Struct+2Way+Word"
"RT-GENE 4 model ensemble","DeepNN","1","AI","RT-GENE 4 model ensemble"
"RT-GENE 2 model ensemble","DeepNN","1","AI","RT-GENE 2 model ensemble"
"RT-GENE single model","DeepNN","1","AI","RT-GENE single model"
"CapsGNN","DeepNN","1","AI","CapsGNN"
"PSCN","DeepNN","1","AI","PSCN"
"AWE","DeepNN","1","AI","AWE"
"GCAPS-CNN","DeepNN","1","AI","GCAPS-CNN"
"Regularized Deep Regressor","DeepNN","1","AI","Regularized Deep Regressor"
"CNN Large + fine-tune","DeepNN","1","AI","CNN Large + fine-tune"
"Self-attentive encoder + ELMo","DeepNN","1","AI","Self-attentive encoder + ELMo"
"Model combination","DeepNN","1","AI","Model combination"
"LSTM Encoder-Decoder + LSTM-LM","DeepNN","1","AI","LSTM Encoder-Decoder + LSTM-LM"
"In-order","DeepNN","1","AI","In-order"
"Semi-supervised LSTM-LM","DeepNN","1","AI","Semi-supervised LSTM-LM"
"Stack-only RNNG","DeepNN","1","AI","Stack-only RNNG"
"Transformer","DeepNN","1","AI","Transformer"
"Semi-supervised LSTM","DeepNN","1","AI","Semi-supervised LSTM"
"Self-trained parser","DeepNN","1","AI","Self-trained parser"
"RNN Grammar","DeepNN","1","AI","RNN Grammar"
"Transition-based+improved aligner+ensemble","DeepNN","1","AI","Transition-based+improved aligner+ensemble"
"Incremental joint model","DeepNN","1","AI","Incremental joint model"
"Transition-based transducer","DeepNN","1","AI","Transition-based transducer"
"Imitation learning ","DeepNN","1","AI","Imitation learning "
"Flair embeddings","DeepNN","1","AI","Flair embeddings"
"JMT","DeepNN","1","AI","JMT"
"Low supervision","DeepNN","1","AI","Low supervision"
"Suzuki and Isozaki","DeepNN","1","AI","Suzuki and Isozaki"
"NCRF++","DeepNN","1","AI","NCRF++"
"Clark et al.","DeepNN","1","AI","Clark et al."
"Lewis et al.","DeepNN","1","AI","Lewis et al."
"Vaswani et al.","DeepNN","1","AI","Vaswani et al."
"Xu et al.","DeepNN","1","AI","Xu et al."
"NLRN","DeepNN","1","AI","NLRN"
"MWCNN","DeepNN","1","AI","MWCNN"
"DnCNN","DeepNN","1","AI","DnCNN"
"FFDNet","DeepNN","1","AI","FFDNet"
"Deep CNN Denoiser","DeepNN","1","AI","Deep CNN Denoiser"
"N3Net","DeepNN","1","AI","N3Net"
"Residual Dense Network +","DeepNN","1","AI","Residual Dense Network +"
"RED30","DeepNN","1","AI","RED30"
"RDN+","DeepNN","1","AI","RDN+"
"Multi-Loss ResNet50","DeepNN","1","AI","Multi-Loss ResNet50"
"3DDFA","DeepNN","1","AI","3DDFA"
"FAN (12 points)","DeepNN","1","AI","FAN (12 points)"
"KEPLER","DeepNN","1","AI","KEPLER"
"RetinaNet+Augmented Autoencoders+ICP","DeepNN","1","AI","RetinaNet+Augmented Autoencoders+ICP"
"DenseFusion","DeepNN","1","AI","DenseFusion"
"PoseCNN + ICP","DeepNN","1","AI","PoseCNN + ICP"
"PointFusion","DeepNN","1","AI","PointFusion"
"PoseCNN + DeepIM","DeepNN","1","AI","PoseCNN + DeepIM"
"Keypoint detector localization","DeepNN","1","AI","Keypoint detector localization"
"Single-shot deep CNN","DeepNN","1","AI","Single-shot deep CNN"
"BB8","DeepNN","1","AI","BB8"
"PoseCNN","DeepNN","1","AI","PoseCNN"
"SSD-6D","DeepNN","1","AI","SSD-6D"
"Fully-connected CRF + geometric check","DeepNN","1","AI","Fully-connected CRF + geometric check"
"Point Pair Features","DeepNN","1","AI","Point Pair Features"
"HRNet-48","DeepNN","1","AI","HRNet-48"
"HRNet-32","DeepNN","1","AI","HRNet-32"
"ResNet-50","DeepNN","1","AI","ResNet-50"
"Pose Residual Network","DeepNN","1","AI","Pose Residual Network"
"Mask R-CNN + NL blocks (4 in head, 1 in backbone)","DeepNN","1","AI","Mask R-CNN + NL blocks (4 in head, 1 in backbone)"
"Part Affinity Fields","DeepNN","1","AI","Part Affinity Fields"
"ConvNet + deformable shape model","DeepNN","1","AI","ConvNet + deformable shape model"
"StarMap","DeepNN","1","AI","StarMap"
"CNN + viewpoint estimates","DeepNN","1","AI","CNN + viewpoint estimates"
"ConvNet","DeepNN","1","AI","ConvNet"
"V2V-PoseNet","DeepNN","1","AI","V2V-PoseNet"
"Pose Guidance","DeepNN","1","AI","Pose Guidance"
"Dense Pixel-wise Estimation","DeepNN","1","AI","Dense Pixel-wise Estimation"
"REN","DeepNN","1","AI","REN"
"DeepPrior++","DeepNN","1","AI","DeepPrior++"
"DeeperCut","DeepNN","1","AI","DeeperCut"
"DeepCut","DeepNN","1","AI","DeepCut"
"Generative Partition Networks","DeepNN","1","AI","Generative Partition Networks"
"Regional Multi-Person Pose Estimation","DeepNN","1","AI","Regional Multi-Person Pose Estimation"
"Associative Embedding","DeepNN","1","AI","Associative Embedding"
"Articulated Tracking","DeepNN","1","AI","Articulated Tracking"
"Local Joint-to-Person Association","DeepNN","1","AI","Local Joint-to-Person Association"
"Fully supervised EpipolarPose","DeepNN","1","AI","Fully supervised EpipolarPose"
"Self supervised EpipolarPose","DeepNN","1","AI","Self supervised EpipolarPose"
"Neural Body Fitting (NBF)","DeepNN","1","AI","Neural Body Fitting (NBF)"
"Weakly Supervised Transfer Learning","DeepNN","1","AI","Weakly Supervised Transfer Learning"
"Sequence-to-sequence network ","DeepNN","1","AI","Sequence-to-sequence network "
"Projected-pose belief maps + 2D fusion layers","DeepNN","1","AI","Projected-pose belief maps + 2D fusion layers"
"DensePose + keypoints","DeepNN","1","AI","DensePose + keypoints"
"Stacked Hourglass Networks","DeepNN","1","AI","Stacked Hourglass Networks"
"Convolutional Pose Machines","DeepNN","1","AI","Convolutional Pose Machines"
"Multi-task learning + viewpoint invariance","DeepNN","1","AI","Multi-task learning + viewpoint invariance"
"Pyramid Residual Modules (PRMs)","DeepNN","1","AI","Pyramid Residual Modules (PRMs)"
"Multi-Context Attention","DeepNN","1","AI","Multi-Context Attention"
"DU-Net","DeepNN","1","AI","DU-Net"
"Stacked hourglass + Inception-resnet","DeepNN","1","AI","Stacked hourglass + Inception-resnet"
"Integral Regression","DeepNN","1","AI","Integral Regression"
"CU-Net","DeepNN","1","AI","CU-Net"
"ResNet-152 + intermediate supervision","DeepNN","1","AI","ResNet-152 + intermediate supervision"
"Soft-argmax + contextual information","DeepNN","1","AI","Soft-argmax + contextual information"
"ResNet152","DeepNN","1","AI","ResNet152"
"MR-LSTM","DeepNN","1","AI","MR-LSTM"
"MVD","DeepNN","1","AI","MVD"
