"task","task_is","weight","hierarchy_belongs","source","Description"
"Hyperspectral Image Classification","Hyperspectral","1","Computer Vision","paperswithcode","Hyperspectral image classification is the task of classifying a class label to every pixel in an image that was captured using (hyper)spectral sensors."
"Image Denoising","Denoising","1","Computer Vision","paperswithcode","Image Denoising is the task of removing noise from an image, e.g. the application of Gaussian noise to an image."
"Head Pose Estimation","Pose Estimation","1","Computer Vision","paperswithcode","Estimating the head pose of a person is a crucial problem that has a large amount of applications such as aiding in gaze estimation, modeling attention, fitting 3D models to video and performing face alignment."
"6D Pose Estimation","Pose Estimation","1","Computer Vision","paperswithcode","6D pose estimation is the task of detecting the 6D pose of an object, which include its location and orientation. This is an important task in robotics, where a robotic arm needs to know the location and orientation to detect and move objects in its vicinity successfully.  This allows the robot to operate safely and effectively alongside humans. The awareness of the position and orientation of objects in a scene is sometimes referred to as 6D, where the D stands for degrees of freedom pose."
"Keypoint Detection","Pose Estimation","1","Computer Vision","paperswithcode","Keypoint detection involves simultaneously detecting people and localizing their keypoints. Keypoints are the same thing as interest points. They are spatial locations, or points in the image that define what is interesting or what stand out in the image. They are invariant to image rotation, shrinkage, translation, distortion, and so on."
"Hand Pose Estimation","Pose Estimation","1","Computer Vision","paperswithcode","Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames."
"Multi-Person Pose Estimation","Pose Estimation","1","Computer Vision","paperswithcode","Multi-person pose estimation is the task of estimating the pose of multiple people in one frame."
"3D Human Pose Estimation","Pose Estimation","1","Computer Vision","paperswithcode","3D Human Pose Estimation is the task of estimating the pose of a human from a picture or set of video frames."
"Abstract Anaphora Resolution","Anaphora Resolution","1","Natural Language Processing","paperswithcode","Abstract Anaphora Resolution aims to resolve nominal expressions (e.g., this result, those two actions) and pronominal expressions (e.g. this, that, it) that refer to abstract-object-antecedents such as facts, events, plans, actions, or situations."
"3D Object Reconstruction","Object Reconstruction","1","Computer Vision","paperswithcode",""
"Object Skeleton Detection","Object Detection","1","Computer Vision","paperswithcode","Object skeleton detection is the task of detecting the skeleton of an object in an image."
"Video Object Detection","Object Detection","1","Computer Vision","paperswithcode","Video object detection is the task of detecting objects from a video as opposed to images."
"Medical Object Detection","Object Detection","1","Computer Vision","paperswithcode","Medical object detection is the task of identifying medical-based objects within an image."
"Object Proposal Generation","Object Detection","1","Computer Vision","paperswithcode","Object proposal generation is a preprocessing technique that has been widely used in current object detection pipelines to guide the search of objects and avoid exhaustive sliding window search across images."
"Weakly Supervised Object Detection","Object Detection","1","Computer Vision","paperswithcode","Weakly Supervised Object Detection (WSOD) is the task of training object detectors with only image tag supervisions."
"3D Object Detection","Object Detection","1","Computer Vision","paperswithcode","3D object detection classifies the object category and estimates oriented 3D bounding boxes of physical objects from 3D sensor data."
"Real-Time Object Detection","Object Detection","1","Computer Vision","paperswithcode","Real-time object detection is the task of doing object detection in real-time with fast inference while maintaining a base level of accuracy."
"Facial Inpainting","Image Inpainting","1","Computer Vision","paperswithcode","Facial inpainting (or face completion) is the task of generating plausible facial structures for missing pixels in a face image."
"Collaborative Filtering","Recommendation Systems","1","Miscellaneous","paperswithcode","Collaborative filtering is a recommendation system that uses users past behaviour (items previously purchased or selected andor numerical ratings given to those items) as well as similar decisions made by other users. This model is then used to predict items (or ratings for items) that the user may have an interest in."
"Cross-Lingual Document Classification","Cross-Lingual","1","Natural Language Processing","paperswithcode",""
"Cross-Modal Retrieval","Multi-Modal","1","Miscellaneous","paperswithcode",""
"Unsupervised Domain Adaptation","Domain Adaptation","1","Methodology","paperswithcode",""
"Curved Text Detection","Scene Text Detection","1","Computer Vision","paperswithcode",""
"Citation Intent Classification","Text Classification","1","Natural Language Processing","paperswithcode",""
"Emotion Classification","Text Classification","1","Natural Language Processing","paperswithcode","Given a tweet, classify it as neutral or no emotion or as one, or more, of eleven given emotions that best represent the mental state of the tweeter."
"Sentence Classification","Text Classification","1","Natural Language Processing","paperswithcode",""
"Document Classification","Text Classification","1","Natural Language Processing","paperswithcode",""
"Nested Named Entity Recognition","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode",""
"Chinese Named Entity Recognition","Named Entity Recognition (NER)","1","Natural Language Processing","paperswithcode",""
"Multimodal Sentiment Analysis","Sentiment Analysis","1","Audio","paperswithcode","Multimodal sentiment analysis is the task of performing sentiment analysis with multiple data sources - e.g. a camera feed of someones face and their recorded speech."
"Aspect-Based Sentiment Analysis","Sentiment Analysis","1","Audio","paperswithcode","Aspect-based sentiment analysis is the task of identifying fine-grained opinion polarity towards a specific aspect associated with a given target."
"Grammatical Error Detection","Grammatical Error Correction","1","Natural Language Processing","paperswithcode",""
"Semantic Role Labeling (predicted predicates)","Semantic Role Labeling","1","Natural Language Processing","paperswithcode","PropBank semantic role labeling with predicted predicates."
"Predicate Detection","Semantic Role Labeling","1","Natural Language Processing","paperswithcode","Detecting predicates in sentences. Semantic frames are defined with respect to predicates. This task is a prerequisite to semantic role labeling."
"Hand Pose Estimation","Hand","1","Computer Vision","paperswithcode","Hand pose estimation is the task of finding the joints of the hand from an image or set of video frames."
"Emotion Recognition in Conversation","Emotion Recognition","1","Computer Vision","paperswithcode",""
"Multimodal Emotion Recognition","Emotion Recognition","1","Computer Vision","paperswithcode",""
"Weakly-Supervised Object Localization","Object Localization","1","Computer Vision","paperswithcode",""
"Unsupervised semantic segmentation","Semantic Segmentation","1","Computer Vision","paperswithcode","Models that learn to segment each image (i.e. cluster the pixels into their ground truth classes) without seeing the ground truth labels."
"Scene Segmentation","Semantic Segmentation","1","Computer Vision","paperswithcode","Scene segmentation is the task of splitting a scene into its various object components.

Image adapted from [Temporally coherent 4D reconstruction of complex dynamic scenes](https:paperswithcode.compapertemporally-coherent-4d-reconstruction-of2)."
"Real-Time Semantic Segmentation","Semantic Segmentation","1","Computer Vision","paperswithcode","Real-time semantic segmentation is the task of achieving computationally efficient semantic segmentation (while maintaining a base level of accuracy)."
"Temporal Information Extraction","Information Extraction","1","Natural Language Processing","paperswithcode","Temporal information extraction is the identification of chunkstokens corresponding to temporal intervals, and the extraction and determination of the temporal relations between those. The entities extracted may be temporal expressions (timexes), eventualities (events), or auxiliary signals that support the interpretation of an entity or relation. Relations may be temporal links (tlinks), describing the order of events and times, or subordinate links (slinks) describing modality and other subordinative acti"
"Volumetric Medical Image Segmentation","Medical Image Segmentation","1","Medical","paperswithcode",""
"Cell Segmentation","Medical Image Segmentation","1","Medical","paperswithcode",""
"Infant Brain Mri Segmentation","Medical Image Segmentation","1","Medical","paperswithcode",""
"Skin Cancer Segmentation","Medical Image Segmentation","1","Medical","paperswithcode",""
"Lung Nodule Segmentation","Medical Image Segmentation","1","Medical","paperswithcode",""
"Pancreas Segmentation","Medical Image Segmentation","1","Medical","paperswithcode","Pancreas segmentation is the task of segmenting out the pancreas from medical imaging."
"3D Medical Imaging Segmentation","Medical Image Segmentation","1","Medical","paperswithcode","3D medical imaging segmentation is the task of segmenting medical objects of interest from 3D medical imaging."
"Retinal Vessel Segmentation","Medical Image Segmentation","1","Medical","paperswithcode","Retinal vessel segmentation is the task of segmenting vessels in retina imagery."
"Brain Tumor Segmentation","Medical Image Segmentation","1","Medical","paperswithcode","Brain tumor segmentation is the task of segmenting tumors from other brain artefacts in MRI image of the brain."
"Lesion Segmentation","Medical Image Segmentation","1","Medical","paperswithcode","Lesion segmentation is the task of segmenting out lesions from other objects in medical based images."
"Crowd Counting","Crowds","1","Computer Vision","paperswithcode",""
"Sentence Embeddings","Representation Learning","1","Methodology","paperswithcode",""
"Open Knowledge Graph Canonicalization","Knowledge Graphs","1","Knowledge Base","paperswithcode","Open Information Extraction approaches leads to creation of large Knowledge bases (KB) from the web. The problem with such methods is that their entities and relations are not canonicalized, which leads to storage of redundant and ambiguous facts. For example, an Open KB storing *\<Barack Obama, was born in, Honolulu\>* and *\<Obama, took birth in, Honolulu\>* doesnt know that *Barack Obama* and *Obama* mean the same entity. Similarly, *took birth in* and *was born in* also refer to the same relation. Probl"
"Table-to-text Generation","Text Generation","1","Natural Language Processing","paperswithcode",""
"Data-to-Text Generation","Text Generation","1","Natural Language Processing","paperswithcode","Data-to-text generation is the task of generating text from a data source."
"Dialogue Generation","Text Generation","1","Natural Language Processing","paperswithcode",""
"Cross-Lingual Natural Language Inference","Natural Language Inference","1","Natural Language Processing","paperswithcode",""
"Multivariate Time Series Forecasting","Time Series Forecasting","1","Time Series","paperswithcode",""
"Open-Domain Question Answering","Question Answering","1","Computer Vision","paperswithcode","Open-domain question answering is the task of question answering on open-domain datasets such as Wikipedia."
"Multi-Task Learning","Transfer Learning","1","Methodology","paperswithcode","Multi-task learning aims to learn multiple different tasks simultaneously while maximizing
performance on one or all of the tasks."
"Action Recognition In Videos","Action Recognition","1","Computer Vision","paperswithcode",""
"Video Super-Resolution","Video","1","Computer Vision","paperswithcode","Video super-resolution is the task of upscaling a video from a low-resolution to a high-resolution."
"Action Recognition In Videos","Video","1","Computer Vision","paperswithcode",""
"Object Tracking","Video","1","Computer Vision","paperswithcode","Object tracking is the task of taking an initial set of object detections, creating a unique ID for each of the initial detections, and then tracking each of the objects as they move around frames in a video, maintaining the ID assignment."
"Facial Inpainting","Image Generation","1","Computer Vision","paperswithcode","Facial inpainting (or face completion) is the task of generating plausible facial structures for missing pixels in a face image."
"Text-to-Image Generation","Image Generation","1","Computer Vision","paperswithcode","Text-to-image generation is the task of generating images from text descriptions or captions."
"Conditional Image Generation","Image Generation","1","Computer Vision","paperswithcode","Conditional image generation is the task of generating new images from a dataset conditional on their class."
"Image-to-Image Translation","Image Generation","1","Computer Vision","paperswithcode","Image-to-image translation is the task of taking images from one domain and transforming them so they have the style (or characteristics) of images from another domain."
"Dialogue Act Classification","Dialogue","1","Computer Vision","paperswithcode","Dialogue act classification is the task of classifying an utterance with respect to the fuction it serves in a dialogue, i.e. the act the speaker is performing. Dialogue acts are a type of speech acts (for Speech Act Theory, see [Austin (1975)](http:www.hup.harvard.educatalog.php?isbn=9780674411524) and [Searle (1969)](https:www.cambridge.orgcorebooksspeech-actsD2D7B03E472C8A390ED60B86E08640E7))."
"Dialogue State Tracking","Dialogue","1","Computer Vision","paperswithcode","Dialogue state tacking consists of determining at each turn of a dialogue the
full representation of what the user wants at that point in the dialogue,
which contains a goal constraint, a set of requested slots, and the users dialogue act."
"Dialogue Generation","Dialogue","1","Computer Vision","paperswithcode",""
"Accented Speech Recognition","Speech Recognition","1","Speech","paperswithcode",""
"Distant Speech Recognition","Speech Recognition","1","Speech","paperswithcode",""
"Noisy Speech Recognition","Speech Recognition","1","Speech","paperswithcode",""
"Face Sketch Synthesis","Sketch","1","Computer Vision","paperswithcode","Face sketch synthesis is the task of generating a sketch from an input face photo."
"Pedestrian Attribute Recognition","Autonomous Vehicles","1","Computer Vision","paperswithcode","Pedestrian attribution recognition is the task of recognising pedestrian features - such as whether they are talking on a phone, whether they have a backpack, and so on."
"Traffic Sign Recognition","Autonomous Vehicles","1","Computer Vision","paperswithcode","Traffic sign recognition is the task of recognising traffic signs in an image or video."
"Lane Detection","Autonomous Vehicles","1","Computer Vision","paperswithcode","Lane detection is the task of detecting lanes on a road from a camera."
"Pedestrian Detection","Autonomous Vehicles","1","Computer Vision","paperswithcode","Pedestrian detection is the task of detecting pedestrians from a camera.

Further state-of-the-art results (e.g. on the KITTI dataset) can be found at [3D Object Detection](https:paperswithcode.comtaskobject-detection)."
"Facial Beauty Prediction","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial beauty prediction is the task of predicting the attractiveness of a face."
"Facial Action Unit Detection","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial action unit detection is the task of detecting action units from a video of a face - for example, lip tightening and cheek raising."
"Face Sketch Synthesis","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Face sketch synthesis is the task of generating a sketch from an input face photo."
"Face Anti-Spoofing","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial anti-spoofing is the task of preventing false facial verification by using a photo, video, mask or a different substitute for an authorized person’s face. Some examples of attacks:

- **Print attack**: The attacker uses someone’s photo. The image is printed or displayed on a digital device.

- **Replayvideo attack**: A more sophisticated way to trick the system, which usually requires a looped video of a victim’s face. This approach ensures behaviour and facial movements to look more ‘natural’ co"
"Facial Inpainting","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial inpainting (or face completion) is the task of generating plausible facial structures for missing pixels in a face image."
"Age Estimation","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Age Estimation is the task of estimating the age of a person from an image."
"Facial Landmark Detection","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial landmark detection is the task of detecting key landmarks on the face and tracking them (being robust to rigid and non-rigid facial deformations due to head movements and facial expressions)."
"Face Reconstruction","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Face reconstruction is the task of recovering the facial geometry of a face from an image."
"Face Identification","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Face identification is the task of matching a given face image to one in an existing database of faces. It is the second part of face recognition (the first part being detection). It is a one-to-many mapping: you have to find an unknown person in a database to find who that person is."
"Facial Expression Recognition","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial expression recognition is the task of classifying the expressions on face images into various categories such as anger, fear, surprise, sadness, happiness and so on."
"Face Alignment","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Face alignment is the task of identifying the geometric structure of faces in digital images, and attempting to obtain a canonical alignment of the face based on translation, scale, and rotation."
"Face Verification","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Face verification is the task of comparing a candidate face to another, and verifying whether it is a match. It is a one-to-one mapping: you have to check if this person is the correct one."
"Face Detection","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Face detection is the task of detecting faces in a photo or video (and distinguishing them from other objects)."
"Face Recognition","Facial Recognition and Modelling","1","Computer Vision","paperswithcode","Facial recognition is the task of making a positive identification of a face in a photo or video image against a pre-existing database of faces. It begins with detection - distinguishing human faces from other objects in the image - and then works on identification of those detected faces.

The state of the art tables for this task are contained mainly in the consistent parts of the task : the face verification and face identification tasks."
"Video Super-Resolution","Super Resolution","1","Computer Vision","paperswithcode","Video super-resolution is the task of upscaling a video from a low-resolution to a high-resolution."
"Image Super-Resolution","Super Resolution","1","Computer Vision","paperswithcode","Image super-resolution (SR) techniques reconstruct a higher-resolution image or sequence from the observed lower-resolution images. Usually the benchmarks are single-image super-resolution (SISR) tasks."
"Unsupervised Machine Translation","Machine Translation","1","Natural Language Processing","paperswithcode","Unsupervised machine translation is the task of doing machine translation without any translation resources at training time."
"Novel View Synthesis","AI task","1","Computer Vision","paperswithcode","Synthesize a target image with an arbitrary target camera pose from given source images and their camera poses."
"Instance Segmentation","AI task","1","Computer Vision","paperswithcode","Instance segmentation is the task of detecting and delineating each distinct object of interest appearing in an image."
"Participant Intervention Comparison Outcome Extraction","AI task","1","Medical","paperswithcode",""
"Metric Learning","AI task","1","Methodology","paperswithcode",""
"Query Wellformedness","AI task","1","Natural Language Processing","paperswithcode",""
"Line segment detection","AI task","1","Computer Vision","paperswithcode",""
"Click-Through Rate Prediction","AI task","1","Miscellaneous","paperswithcode","Click-through rate prediction is the task of predicting the likelihood that something on a website (such as an advertisement) will be clicked."
"Safety Perception Recognition","AI task","1","Computer Vision","paperswithcode","City safety perception recognition"
"Mortality Prediction","AI task","1","Medical","paperswithcode","Mortality prediction is the task of predicting the mortality of patients. It is important in medical decision support systems in order to prioritise the patients who have a high risk of mortality."
"Birds Eye View Object Detection","AI task","1","Computer Vision","paperswithcode","KITTI birds eye view detection task"
"Surgical Skills Evaluation","AI task","1","Medical","paperswithcode","The task is to classify surgical skills using data that is recorded during the surgical intervention."
"Node Classification","AI task","1","Graphs","paperswithcode","The node classification task is one where the algorithm has to determine the labelling of samples (represented as nodes) by looking at the labels of their neighbours."
"Language Acquisition","AI task","1","Natural Language Processing","paperswithcode",""
"Passage Re-Ranking","AI task","1","Natural Language Processing","paperswithcode",""
"Meta-Learning","AI task","1","Methodology","paperswithcode","Meta-learning is a methodology considered with learning to learn machine learning algorithms."
"Human Parsing","AI task","1","Computer Vision","paperswithcode","Human parsing is the task of segmenting a human image into different fine-grained semantic parts such as head, torso, arms and legs."
"Image Recognition","AI task","1","Computer Vision","paperswithcode",""
"3D","AI task","1","Computer Vision","paperswithcode",""
"SQL-to-Text","AI task","1","Computer Code","paperswithcode",""
"Cross-Lingual Bitext Mining","AI task","1","Natural Language Processing","paperswithcode",""
"Image Classification","AI task","1","Computer Vision","paperswithcode",""
"Causal Inference","AI task","1","Miscellaneous","paperswithcode","Causal inference is the task of drawing a conclusion about a causal connection based on the conditions of the occurrence of an effect."
"Traffic Prediction","AI task","1","Time Series","paperswithcode","Traffic prediction is the task of predicting traffic volumes, utilising historical speed and volume data."
"Paraphrase Identification","AI task","1","Natural Language Processing","paperswithcode",""
"Multi-Armed Bandits","AI task","1","Miscellaneous","paperswithcode","Multi-armed bandits refer to a task where a fixed amount of resources must be allocated between competing resources that maximizes expected gain. Typically these problems involve an explorationexploitation trade-off."
"Object Recognition","AI task","1","Computer Vision","paperswithcode","Object recognition is a computer vision technique for detecting + classifying objects in images or videos. Since this is a combined task of object detection plus image classification, the state-of-the-art tables are recorded for each component task [here](https:www.paperswithcode.comtaskobject-detection) and  [here](https:www.paperswithcode.comtaskimage-classification2)."
"Human Part Segmentation","AI task","1","Computer Vision","paperswithcode",""
"Text Summarization","AI task","1","Natural Language Processing","paperswithcode",""
"Gaze Estimation","AI task","1","Computer Vision","paperswithcode",""
"Graph Classification","AI task","1","Graphs","paperswithcode",""
"Pain Intensity Regression","AI task","1","Methodology","paperswithcode",""
"Constituency Parsing","AI task","1","Natural Language Processing","paperswithcode","Consituency parsing aims to extract a constituency-based parse tree from a sentence that
represents its syntactic structure according to a [phrase structure grammar](https:en.wikipedia.orgwikiPhrase_structure_grammar).

Example:

                 Sentence (S)
                     |
       +-------------+------------+
       |                          |
     Noun (N)                Verb Phrase (VP)
       |                          |
     John                 +-------+--------+
                          |   "
"Amr Parsing","AI task","1","Natural Language Processing","paperswithcode","Each AMR is a single rooted, directed graph. AMRs include PropBank semantic roles, within-sentence coreference, named entities and types, modality, negation, questions, quantities, and so on. [See](https:amr.isi.eduindex.html)."
"Chunking","AI task","1","Natural Language Processing","paperswithcode","Chunking, also known as shallow parsing, identifies continuous spans of tokens that form syntactic units such as noun phrases or verb phrases.

Example:

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| B-NLP| I-NP | I-NP | I-NP | I-NP |"
"CCG Supertagging","AI task","1","Natural Language Processing","paperswithcode","Combinatory Categorical Grammar (CCG; [Steedman, 2000](http:www.citeulike.orggroup14833article8971002)) is a
highly lexicalized formalism. The standard parsing model of [Clark and Curran (2007)](https:www.mitpressjournals.orgdoiabs10.1162coli.2007.33.4.493)
uses over 400 lexical categories (or _supertags_), compared to about 50 part-of-speech tags for typical parsers.

Example:

| Vinken | , | 61 | years | old |
| --- | ---| --- | --- | --- |
| N| , | NN | N | (S[adj]\ NP)\ NP |"
"Hyperspectral","AI task","1","Computer Vision","paperswithcode",""
"Denoising","AI task","1","Computer Vision","paperswithcode","Denoising is the task of removing noise from an image."
"Pose Estimation","AI task","1","Computer Vision","paperswithcode","Pose Estimation is a general problem in Computer Vision where we detect the position and orientation of an object."
"Anaphora Resolution","AI task","1","Natural Language Processing","paperswithcode",""
"Object Reconstruction","AI task","1","Computer Vision","paperswithcode",""
"Object Detection","AI task","1","Computer Vision","paperswithcode","Object detection is a computer technology related to computer vision and image processing that deals with detecting instances of semantic objects of a certain class (such as humans, buildings, or cars) in digital images and videos."
"Optical Flow Estimation","AI task","1","Computer Vision","paperswithcode",""
"Entity Resolution","AI task","1","Natural Language Processing","paperswithcode",""
"Coreference Resolution","AI task","1","Natural Language Processing","paperswithcode","Coreference resolution is the task of clustering mentions in text that refer to the same underlying real world entities.

Example:

```
               +-----------+
               |           |
I voted for Obama because he was most aligned with my values, she said.
 |                                                 |            |
 +-------------------------------------------------+------------+
```

I, my, and she belong to the same cluster and Obama and he belong to the same cluster."
"Image Inpainting","AI task","1","Computer Vision","paperswithcode",""
"Recommendation Systems","AI task","1","Miscellaneous","paperswithcode","The recommendation systems task is to produce a list of recommendations for a user."
"Image Reconstruction","AI task","1","Computer Vision","paperswithcode",""
"Cross-Lingual","AI task","1","Natural Language Processing","paperswithcode",""
"Multi-Modal","AI task","1","Miscellaneous","paperswithcode",""
"Multi-Label Text Classification","AI task","1","Methodology","paperswithcode",""
"Nested Mention Recognition","AI task","1","Natural Language Processing","paperswithcode",""
"Architecture Search","AI task","1","Methodology","paperswithcode",""
"Domain Adaptation","AI task","1","Methodology","paperswithcode","Domain adaptation is the task of adapting models between domains."
"Subjectivity Analysis","AI task","1","Natural Language Processing","paperswithcode","A related task to sentiment analysis is the subjectivity analysis with the goal of labeling an opinion as either subjective or objective."
"Image Retrieval","AI task","1","Computer Vision","paperswithcode","Image retrieval systems aim to find similar images to a query image among an image dataset."
"Ad-Hoc Information Retrieval","AI task","1","Natural Language Processing","paperswithcode",""
"Scene Text Detection","AI task","1","Computer Vision","paperswithcode",""
"Sarcasm Detection","AI task","1","Natural Language Processing","paperswithcode",""
"Text Classification","AI task","1","Natural Language Processing","paperswithcode","Text classification is the task of assigning a sentence or document an appropriate category. The categories depend on the chosen dataset and can range from topics."
"Relationship Extraction (Distant Supervised)","AI task","1","Natural Language Processing","paperswithcode","Relationship extraction is the task of extracting semantic relationships from a text. Extracted relationships usually
occur between two or more entities of a certain type (e.g. Person, Organisation, Location) and fall into a number of
semantic categories (e.g. married to, employed by, lives in)."
"Named Entity Recognition (NER)","AI task","1","Natural Language Processing","paperswithcode","Named entity recognition (NER) is the task of tagging entities in text with their corresponding type.
Approaches typically use BIO notation, which differentiates the beginning (B) and the inside (I) of entities.
O is used for non-entity tokens.

Example:

| Mark | Watney | visited | Mars |
| --- | ---| --- | --- |
| B-PER | I-PER | O | B-LOC |"
"Sentiment Analysis","AI task","1","Audio","paperswithcode","Sentiment analysis is the task of classifying the polarity of a given text."
"Dependency Parsing","AI task","1","Natural Language Processing","paperswithcode","Dependency parsing is the task of extracting a dependency parse of a sentence that represents its grammatical
structure and defines the relationships between head words and words, which modify those heads.

Example:

```
     root
      |
      | +-------dobj---------+
      | |                    |
nsubj | |   +------det-----+ | +-----nmod------+
+--+  | |   |              | | |               |
|  |  | |   |      +-nmod-+| | |      +-case-+ |
+  |  + |   +      +      || + |      +      | |
I  prefer  the "
"Grammatical Error Correction","AI task","1","Natural Language Processing","paperswithcode","Grammatical Error Correction (GEC) is the task of correcting different kinds of errors in text such as spelling, punctuation, grammatical, and word choice errors. 

GEC is typically formulated as a sentence correction task. A GEC system takes a potentially erroneous sentence as input and is expected to transform it to its corrected version. See the example given below: 

| Input (Erroneous)          | Output (Corrected)     |
| -------------------------  | ---------------------- |
|She see Tom is catched by"
"Semantic Parsing","AI task","1","Natural Language Processing","paperswithcode",""
"Semantic Textual Similarity","AI task","1","Natural Language Processing","paperswithcode","Semantic textual similarity deals with determining how similar two pieces of texts are.
This can take the form of assigning a score from 1 to 5. Related tasks are paraphrase or duplicate identification."
"Semantic Role Labeling","AI task","1","Natural Language Processing","paperswithcode","Semantic role labeling aims to model the predicate-argument structure of a sentence
and is often described as answering Who did what to whom. BIO notation is typically
used for semantic role labeling.

Example:

| Housing | starts | are | expected | to | quicken | a | bit | from | August’s | pace | 
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | 
| B-ARG1 | I-ARG1 | O |  O  |  O  |   V  | B-ARG2 | I-ARG2 | B-ARG3 | I-ARG3 | I-ARG3 |"
"Lexical Normalization","AI task","1","Natural Language Processing","paperswithcode","Lexical normalization is the task of translatingtransforming a non standard text to a standard register.

Example:

```
new pix comming tomoroe
new pictures coming tomorrow
```

Datasets usually consists of tweets, since these naturally contain a fair amount of 
these phenomena.

For lexical normalization, only replacements on the word-level are annotated.
Some corpora include annotation for 1-N and N-1 replacements. However, word
insertiondeletion and reordering is not part of the task."
"Hand","AI task","1","Computer Vision","paperswithcode",""
"Emotion Recognition","AI task","1","Computer Vision","paperswithcode",""
"Object Localization","AI task","1","Computer Vision","paperswithcode",""
"Semantic Segmentation","AI task","1","Computer Vision","paperswithcode","The idea of semantic segmentation is to recognize and understand what is in an image at the pixel-level."
"Relation Extraction","AI task","1","Natural Language Processing","paperswithcode",""
