"agent","task","method","result","metric"
"LGCN sub","Pubmed","LGCN sub","79.50","Accuracy"
"alpha-LoNGAE","Pubmed","alpha-LoNGAE","79.40","Accuracy"
"GCN","Pubmed","GCN","79.0","Accuracy"
"GAT","Pubmed","GAT","79.00","Accuracy"
"Planetoid*","Pubmed","Planetoid*","77.2","Accuracy"
"DGI","Pubmed","DGI","76.80","Accuracy"
"ChebNet","Pubmed","ChebNet","74.4","Accuracy"
"DeepWalk","Pubmed","DeepWalk","65.3","Accuracy"
"LGCN sub","Cora","LGCN sub","83.30","Accuracy"
"GAT","Cora","GAT","83.0","Accuracy"
"DGI","Cora","DGI","82.3","Accuracy"
"GCN","Cora","GCN","81.5","Accuracy"
"ChebNet","Cora","ChebNet","81.2","Accuracy"
"MTGAE","Cora","MTGAE","79.00","Accuracy"
"alpha-LoNGAE","Cora","alpha-LoNGAE","78.30","Accuracy"
"Planetoid*","Cora","Planetoid*","75.7","Accuracy"
"DeepWalk","Cora","DeepWalk","67.2","Accuracy"
"GraphGAN","Wikipedia","GraphGAN","21.30","Accuracy"
"GraphGAN","Wikipedia","GraphGAN","0.194","Macro-F1"
"Struc2vec","Wikipedia","Struc2vec","21.10","Accuracy"
"Struc2vec","Wikipedia","Struc2vec","0.190","Macro-F1"
"DeepWalk","Wikipedia","DeepWalk","19.40","Accuracy"
"DeepWalk","Wikipedia","DeepWalk","0.183","Macro-F1"
"node2vec","Wikipedia","node2vec","19.10","Accuracy"
"node2vec","Wikipedia","node2vec","0.179","Macro-F1"
"LINE","Wikipedia","LINE","17.50","Accuracy"
"LINE","Wikipedia","LINE","0.164","Macro-F1"
"GCN","NELL","GCN","66.0","Accuracy"
"Planetoid*","NELL","Planetoid*","61.9","Accuracy"
"DeepWalk","NELL","DeepWalk","58.1","Accuracy"
"GraphGAN","BlogCatalog","GraphGAN","23.20","Accuracy"
"GraphGAN","BlogCatalog","GraphGAN","0.221","Macro-F1"
"Struc2vec","BlogCatalog","Struc2vec","22.80","Accuracy"
"Struc2vec","BlogCatalog","Struc2vec","0.216","Macro-F1"
"DeepWalk","BlogCatalog","DeepWalk","22.50","Accuracy"
"DeepWalk","BlogCatalog","DeepWalk","0.214","Macro-F1"
"node2vec","BlogCatalog","node2vec","21.50","Accuracy"
"node2vec","BlogCatalog","node2vec","0.206","Macro-F1"
"LINE","BlogCatalog","LINE","20.50","Accuracy"
"LINE","BlogCatalog","LINE","0.192","Macro-F1"
"Context Based Model","SLAM 2018","Context Based Model","0.821","AUC"
"BERT + Small Training","MS MARCO","BERT + Small Training","0.359","MRR"
"Duet v2","MS MARCO","Duet v2","0.253","MRR"
"Cosine similarity function + C128F feature extractor","Mini-ImageNet - 5-Shot Learning","Cosine similarity function + C128F feature extractor","73.00","Accuracy"
"Prototypical-Nets + C64F feature extractor","Mini-ImageNet - 5-Shot Learning","Prototypical-Nets + C64F feature extractor","68.20","Accuracy"
"MAML++","Mini-ImageNet - 5-Shot Learning","MAML++","67.15","Accuracy"
"Baseline++","Mini-ImageNet - 5-Shot Learning","Baseline++","66.43","Accuracy"
"Reptile + Transduction","Mini-ImageNet - 5-Shot Learning","Reptile + Transduction","65.99","Accuracy"
"MAML","Mini-ImageNet - 5-Shot Learning","MAML","63.10","Accuracy"
"Matching Nets + C64F feature extractor","Mini-ImageNet - 5-Shot Learning","Matching Nets + C64F feature extractor","55.30","Accuracy"
"MAML","OMNIGLOT - 5-Shot Learning","MAML","99.9","Accuracy"
"Prototypical-Nets","OMNIGLOT - 5-Shot Learning","Prototypical-Nets","99.7","Accuracy"
"Memory Mod","OMNIGLOT - 5-Shot Learning","Memory Mod","99.6","Accuracy"
"Neural Statistician","OMNIGLOT - 5-Shot Learning","Neural Statistician","99.5","Accuracy"
"Reptile + Transduction","OMNIGLOT - 5-Shot Learning","Reptile + Transduction","99.48","Accuracy"
"Matching Nets","OMNIGLOT - 5-Shot Learning","Matching Nets","98.9","Accuracy"
"Prototypical-Nets","OMNIGLOT - 1-Shot Learning","Prototypical-Nets","98.8","Accuracy"
"MAML","OMNIGLOT - 1-Shot Learning","MAML","98.7","Accuracy"
"Memory Mod","OMNIGLOT - 1-Shot Learning","Memory Mod","98.4","Accuracy"
"Neural Statistician","OMNIGLOT - 1-Shot Learning","Neural Statistician","98.1","Accuracy"
"Matching Nets","OMNIGLOT - 1-Shot Learning","Matching Nets","98.1","Accuracy"
"Reptile + Transduction","OMNIGLOT - 1-Shot Learning","Reptile + Transduction","97.68","Accuracy"
"Prototypical-Nets","CUB-200 - 0-Shot Learning","Prototypical-Nets","54.6","Accuracy"
"SJE","CUB-200 - 0-Shot Learning","SJE","50.1","Accuracy"
"Sample Clustering","CUB-200 - 0-Shot Learning","Sample Clustering","44.3","Accuracy"
"Cosine similarity function + C64F feature extractor","Mini-ImageNet - 1-Shot Learning","Cosine similarity function + C64F feature extractor","56.20","Accuracy"
"MAML++","Mini-ImageNet - 1-Shot Learning","MAML++","52.40","Accuracy"
"PLATIPUS","Mini-ImageNet - 1-Shot Learning","PLATIPUS","50.13","Accuracy"
"Reptile + Transduction","Mini-ImageNet - 1-Shot Learning","Reptile + Transduction","49.97","Accuracy"
"Prototypical-Nets + C64F feature extractor","Mini-ImageNet - 1-Shot Learning","Prototypical-Nets + C64F feature extractor","49.42","Accuracy"
"MAML","Mini-ImageNet - 1-Shot Learning","MAML","48.70","Accuracy"
"Matching Nets + C64F feature extractor","Mini-ImageNet - 1-Shot Learning","Matching Nets + C64F feature extractor","43.60","Accuracy"
"NAN","MHP v2.0","NAN","25.14","AP 0.5"
"MH-Parser","MHP v2.0","MH-Parser","17.99","AP 0.5"
"Mask R-CNN","MHP v2.0","Mask R-CNN","14.90","AP 0.5"
"NAN","PASCAL-Person-Part","NAN","59.70","AP 0.5"
"Holistic instance-level","PASCAL-Person-Part","Holistic instance-level","40.60","AP 0.5"
"MNC","PASCAL-Person-Part","MNC","38.80","AP 0.5"
"NAN","MHP v1.0","NAN","57.09","AP 0.5"
"Mask R-CNN","MHP v1.0","Mask R-CNN","52.68","AP 0.5"
"MH-Parser","MHP v1.0","MH-Parser","50.10","AP 0.5"
"DL","MHP v1.0","DL","47.76","AP 0.5"
"LPRNet basic","Chinese License Plates","LPRNet basic","95.0","Accuracy"
"LPRNet basic","Chinese License Plates","LPRNet basic","0.34","GFLOPs"
"HorizonNet","PanoContext","HorizonNet","82.17","3DIoU"
"CFL","PanoContext","CFL","78.79","3DIoU"
"DuLa-Net","PanoContext","DuLa-Net","77.42","3DIoU"
"LayoutNet","PanoContext","LayoutNet","74.48","3DIoU"
"HorizonNet","Stanford 2D-3D","HorizonNet","79.79","3DIoU"
"DuLa-Net","Stanford 2D-3D","DuLa-Net","79.36","3DIoU"
"LayoutNet","Stanford 2D-3D","LayoutNet","76.33","3DIoU"
"DuLa-Net","Realtor360","DuLa-Net","77.20","3DIoU"
"LayoutNet","Realtor360","LayoutNet","62.77","3DIoU"
"Scan2CAD","Scan2CAD","Scan2CAD","31.68","Average Accuracy"
"3DMatch","Scan2CAD","3DMatch","10.29","Average Accuracy"
"Graph2Seq-PGE","WikiSQL","Graph2Seq-PGE","38.97","BLEU-4"
"GGS-NN","WikiSQL","GGS-NN","35.53","BLEU-4"
"Massively Multilingual Sentence Embeddings","BUCC French-to-English","Massively Multilingual Sentence Embeddings","93.91","F1 score"
"Multilingual Sentence Embeddings","BUCC French-to-English","Multilingual Sentence Embeddings","92.89","F1 score"
"Monolingual training data","BUCC French-to-English","Monolingual training data","75.8","F1 score"
"Massively Multilingual Sentence Embeddings","BUCC German-to-English","Massively Multilingual Sentence Embeddings","96.19","F1 score"
"Multilingual Sentence Embeddings","BUCC German-to-English","Multilingual Sentence Embeddings","95.58","F1 score"
"Monolingual training data","BUCC German-to-English","Monolingual training data","76.9","F1 score"
"Transfer Learning from VGG16 trained on Imagenet","RVL-CDIP","Transfer Learning from VGG16 trained on Imagenet","92.21","Accuracy"
"Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50","RVL-CDIP","Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50","90.97","Accuracy"
"AlexNet + spatial pyramidal pooling + image resizing","RVL-CDIP","AlexNet + spatial pyramidal pooling + image resizing","90.94","Accuracy"
"Document section-based models + AlexNet transfer learning","RVL-CDIP","Document section-based models + AlexNet transfer learning","89.80","Accuracy"
"IIC","STL-10","IIC","61.00","Accuracy"
"IIC","CIFAR-10","IIC","61.7","Accuracy"
"IIC","CIFAR-20","IIC","25.7","Accuracy"
"IIC","MNIST","IIC","99.3","Accuracy"
"BN LSTM","Sequential MNIST","BN LSTM","99","Unpermuted Accuracy"
"BN LSTM","Sequential MNIST","BN LSTM","95.4","Permuted Accuracy"
"Dilated GRU","Sequential MNIST","Dilated GRU","99.2","Unpermuted Accuracy"
"Dilated GRU","Sequential MNIST","Dilated GRU","94.6","Permuted Accuracy"
"Full-capacity uRNN","Sequential MNIST","Full-capacity uRNN","96.9","Unpermuted Accuracy"
"Full-capacity uRNN","Sequential MNIST","Full-capacity uRNN","94.1","Permuted Accuracy"
"LSTM","Sequential MNIST","LSTM","98.2","Unpermuted Accuracy"
"LSTM","Sequential MNIST","LSTM","88","Permuted Accuracy"
"iRNN","Sequential MNIST","iRNN","97","Unpermuted Accuracy"
"iRNN","Sequential MNIST","iRNN","82","Permuted Accuracy"
"St-SS-pGRU","Pavia University","St-SS-pGRU","98.44","Overall Accuracy"
"BASSNet","Pavia University","BASSNet","97.48","Overall Accuracy"
"CNN-MRF","Pavia University","CNN-MRF","96.18","Overall Accuracy"
"BASSNet","Indian Pines","BASSNet","96.77","Overall Accuracy"
"CNN-MRF","Indian Pines","CNN-MRF","96.12","Overall Accuracy"
"St-SS-pGRU","Indian Pines","St-SS-pGRU","90.35","Overall Accuracy"
"PC-DenseNet-161","NABirds","PC-DenseNet-161","82.79","Accuracy"
"PC Bilinear CNN","Oxford 102 Flowers","PC Bilinear CNN","93.65","Accuracy"
" AutoAugment","Oxford 102 Flowers"," AutoAugment","4.64","Top-1 Error Rate"
"AutoAugment","Caltech-101","AutoAugment","13.07","Top-1 Error Rate"
"WS-DAN","FGVC Aircraft","WS-DAN","93.0","Accuracy"
"MPN-COV","FGVC Aircraft","MPN-COV","91.4","Accuracy"
"AutoAugment","FGVC Aircraft","AutoAugment","7.33","Top-1 Error Rate"
"WS-DAN","Stanford Cars","WS-DAN","94.5","Accuracy"
"MPN-COV","Stanford Cars","MPN-COV","93.3","Accuracy"
"PC-DenseNet-161","Stanford Cars","PC-DenseNet-161","92.86","Accuracy"
"AutoAugment","Stanford Cars","AutoAugment","5.19","Top-1 Error Rate"
"A3M","CompCars","A3M","95.4","Accuracy"
"GoogLeNet","CompCars","GoogLeNet","91.2","Accuracy"
"AlexNet","CompCars","AlexNet","81.9","Accuracy"
"AutoAugment","Oxford-IIIT Pets","AutoAugment","11.02","Top-1 Error Rate"
"WS-DAN","Stanford Dogs","WS-DAN","92.1","Accuracy"
"PC-DenseNet-161","Stanford Dogs","PC-DenseNet-161","83.75","Accuracy"
"Inception-V3"," CUB-200-2011","Inception-V3","89.6","Accuracy"
"WS-DAN"," CUB-200-2011","WS-DAN","89.3","Accuracy"
"MPN-COV"," CUB-200-2011","MPN-COV","88.7","Accuracy"
"Hierarchical Semantic Embedding"," CUB-200-2011","Hierarchical Semantic Embedding","88.1","Accuracy"
"PC-DenseNet-161"," CUB-200-2011","PC-DenseNet-161","86.87","Accuracy"
"A3M"," CUB-200-2011","A3M","86.2","Accuracy"
"RA-CNN"," CUB-200-2011","RA-CNN","85.3","Accuracy"
"Bilinear-CNN"," CUB-200-2011","Bilinear-CNN","85.1","Accuracy"
"PS-CNN"," CUB-200-2011","PS-CNN","76.6","Accuracy"
"Part RCNN"," CUB-200-2011","Part RCNN","76.4","Accuracy"
"SWSA","CIFAR-10, 4000 Labels","SWSA","95","Accuracy"
"Mean Teacher","CIFAR-10, 4000 Labels","Mean Teacher","93.72","Accuracy"
"VAT+EntMin","CIFAR-10, 4000 Labels","VAT+EntMin","89.45","Accuracy"
"VAT","CIFAR-10, 4000 Labels","VAT","88.64","Accuracy"
"Pi Model","CIFAR-10, 4000 Labels","Pi Model","87.84","Accuracy"
"GAN","CIFAR-10, 4000 Labels","GAN","84.41","Accuracy"
"G-model","CIFAR-10, 4000 Labels","G-model","79.6","Accuracy"
"VAT+EntMin","SVHN, 1000 labels","VAT+EntMin","96.14","Accuracy"
"Mean Teacher","SVHN, 1000 labels","Mean Teacher","96.05","Accuracy"
"Pi Model","SVHN, 1000 labels","Pi Model","95.58","Accuracy"
"VAT","SVHN, 1000 labels","VAT","94.58","Accuracy"
"GAN","SVHN, 1000 labels","GAN","91.89","Accuracy"
"IIC","STL-10","IIC","88.8","Accuracy"
"GPIPE + transfer learning","CIFAR-10","GPIPE + transfer learning","99","Percentage correct"
"GPIPE + transfer learning","CIFAR-10","GPIPE + transfer learning","1","Percentage error"
"Proxyless-G + co","CIFAR-10","Proxyless-G + co","97.92","Percentage correct"
"Proxyless-G + co","CIFAR-10","Proxyless-G + co","2.08","Percentage error"
"SENet + ShakeShake + Cutout","CIFAR-10","SENet + ShakeShake + Cutout","97.88","Percentage correct"
"SENet + ShakeShake + Cutout","CIFAR-10","SENet + ShakeShake + Cutout","2.12","Percentage error"
"WRN + fixup init + mixup + cutout","CIFAR-10","WRN + fixup init + mixup + cutout","97.7","Percentage correct"
"WRN + fixup init + mixup + cutout","CIFAR-10","WRN + fixup init + mixup + cutout","2.3","Percentage error"
"ShakeShake-2x64d + SWA","CIFAR-10","ShakeShake-2x64d + SWA","97.12","Percentage correct"
"ShakeShake-2x64d + SWA","CIFAR-10","ShakeShake-2x64d + SWA","2.88","Percentage error"
"WRN-28-10 + SWA","CIFAR-10","WRN-28-10 + SWA","96.79","Percentage correct"
"WRN-28-10 + SWA","CIFAR-10","WRN-28-10 + SWA","3.21","Percentage error"
"Deep pyramidal residual network","CIFAR-10","Deep pyramidal residual network","96.69","Percentage correct"
"Deep pyramidal residual network","CIFAR-10","Deep pyramidal residual network","3.31","Percentage error"
"CoPaNet-R-164","CIFAR-10","CoPaNet-R-164","96.62","Percentage correct"
"CoPaNet-R-164","CIFAR-10","CoPaNet-R-164","3.38","Percentage error"
"DenseNet","CIFAR-10","DenseNet","96.54","Percentage correct"
"DenseNet","CIFAR-10","DenseNet","3.46","Percentage error"
"Fractional MP","CIFAR-10","Fractional MP","96.5","Percentage correct"
"Neural Architecture Search","CIFAR-10","Neural Architecture Search","96.4","Percentage correct"
"SimpleNetv2","CIFAR-10","SimpleNetv2","96.29","Percentage correct"
"Wide ResNet","CIFAR-10","Wide ResNet","96.11","Percentage correct"
"Wide ResNet","CIFAR-10","Wide ResNet","3.89","Percentage error"
"Evolution ensemble","CIFAR-10","Evolution ensemble","95.6","Percentage correct"
"ACN","CIFAR-10","ACN","95.6","Percentage correct"
"SimpleNetv1","CIFAR-10","SimpleNetv1","95.51","Percentage correct"
"ResNet-1001","CIFAR-10","ResNet-1001","95.4","Percentage correct"
"ResNet-1001","CIFAR-10","ResNet-1001","4.62","Percentage error"
"Stochastic Depth","CIFAR-10","Stochastic Depth","94.77","Percentage correct"
"Stochastic Depth","CIFAR-10","Stochastic Depth","5.23","Percentage error"
"RL+NT","CIFAR-10","RL+NT","94.6","Percentage correct"
"Evolution","CIFAR-10","Evolution","94.6","Percentage correct"
"Deep Complex","CIFAR-10","Deep Complex","94.4","Percentage correct"
"ResNet+ELU","CIFAR-10","ResNet+ELU","94.4","Percentage correct"
"Fitnet4-LSUV","CIFAR-10","Fitnet4-LSUV","94.2","Percentage correct"
"Tree+Max-Avg pooling","CIFAR-10","Tree+Max-Avg pooling","94.0","Percentage correct"
"SSCNN","CIFAR-10","SSCNN","93.7","Percentage correct"
"Tuned CNN","CIFAR-10","Tuned CNN","93.6","Percentage correct"
"ResNet","CIFAR-10","ResNet","93.57","Percentage correct"
"ResNet","CIFAR-10","ResNet","6.43","Percentage error"
"Exponential Linear Units","CIFAR-10","Exponential Linear Units","93.5","Percentage correct"
"BNM NiN","CIFAR-10","BNM NiN","93.3","Percentage correct"
"BNM NiN","CIFAR-10","BNM NiN","6.75","Percentage error"
"Universum Prescription","CIFAR-10","Universum Prescription","93.3","Percentage correct"
"CMsC","CIFAR-10","CMsC","93.1","Percentage correct"
"RCNN-96","CIFAR-10","RCNN-96","92.9","Percentage correct"
"NiN+APL","CIFAR-10","NiN+APL","92.5","Percentage correct"
"cifar.torch","CIFAR-10","cifar.torch","92.5","Percentage correct"
"VDN","CIFAR-10","VDN","92.4","Percentage correct"
"VDN","CIFAR-10","VDN","7.60","Percentage error"
"SWWAE","CIFAR-10","SWWAE","92.2","Percentage correct"
"MLR DNN","CIFAR-10","MLR DNN","91.9","Percentage correct"
"DSN","CIFAR-10","DSN","91.8","Percentage correct"
"BinaryConnect","CIFAR-10","BinaryConnect","91.7","Percentage correct"
"CLS-GAN","CIFAR-10","CLS-GAN","91.7","Percentage correct"
"MIM","CIFAR-10","MIM","91.5","Percentage correct"
"Spectral Representations for Convolutional Neural Networks","CIFAR-10","Spectral Representations for Convolutional Neural Networks","91.4","Percentage correct"
"RMDL","CIFAR-10","RMDL","91.21","Percentage correct"
"RMDL","CIFAR-10","RMDL","8.79","Percentage error"
"NiN","CIFAR-10","NiN","91.2","Percentage correct"
"NiN","CIFAR-10","NiN","8.81","Percentage error"
"ELC","CIFAR-10","ELC","91.2","Percentage correct"
"Deep Networks with Internal Selective Attention through Feedback Connections","CIFAR-10","Deep Networks with Internal Selective Attention through Feedback Connections","90.8","Percentage correct"
"DropConnect","CIFAR-10","DropConnect","90.7","Percentage correct"
"Maxout Network (k=2)","CIFAR-10","Maxout Network (k=2)","90.65","Percentage correct"
"Maxout Network (k=2)","CIFAR-10","Maxout Network (k=2)","9.38","Percentage error"
"DNN+Probabilistic Maxout","CIFAR-10","DNN+Probabilistic Maxout","90.6","Percentage correct"
"GP EI","CIFAR-10","GP EI","90.5","Percentage correct"
"APAC","CIFAR-10","APAC","89.7","Percentage correct"
"DCNN+GFE","CIFAR-10","DCNN+GFE","89.1","Percentage correct"
"DCNN","CIFAR-10","DCNN","89","Percentage correct"
"RReLU","CIFAR-10","RReLU","88.8","Percentage correct"
"MCDNN","CIFAR-10","MCDNN","88.8","Percentage correct"
"ReNet","CIFAR-10","ReNet","87.7","Percentage correct"
"An Analysis of Unsupervised Pre-training in Light of Recent Advances","CIFAR-10","An Analysis of Unsupervised Pre-training in Light of Recent Advances","86.7","Percentage correct"
"Stochastic Pooling","CIFAR-10","Stochastic Pooling","84.9","Percentage correct"
"Improving neural networks by preventing co-adaptation of feature detectors","CIFAR-10","Improving neural networks by preventing co-adaptation of feature detectors","84.4","Percentage correct"
"Discriminative Learning of Sum-Product Networks","CIFAR-10","Discriminative Learning of Sum-Product Networks","84.0","Percentage correct"
"Nonnegativity Constraints ","CIFAR-10","Nonnegativity Constraints ","82.9","Percentage correct"
"Local Transformations","CIFAR-10","Local Transformations","82.2","Percentage correct"
"CKN","CIFAR-10","CKN","82.2","Percentage correct"
"Discriminative Unsupervised Feature Learning with Convolutional Neural Networks","CIFAR-10","Discriminative Unsupervised Feature Learning with Convolutional Neural Networks","82","Percentage correct"
"Hierarchical Kernel Descriptors","CIFAR-10","Hierarchical Kernel Descriptors","80","Percentage correct"
"Smooth Pooling Regions","CIFAR-10","Smooth Pooling Regions","80.0","Percentage correct"
"Learning with Recursive Perceptual Representations","CIFAR-10","Learning with Recursive Perceptual Representations","79.7","Percentage correct"
"An Analysis of Single-Layer Networks in Unsupervised Feature Learning ","CIFAR-10","An Analysis of Single-Layer Networks in Unsupervised Feature Learning ","79.6","Percentage correct"
"PCANet","CIFAR-10","PCANet","78.7","Percentage correct"
"FLSCNN","CIFAR-10","FLSCNN","75.9","Percentage correct"
"IncResNetV2 SE","iNaturalist","IncResNetV2 SE","67.3","Top 1 Accuracy"
"IncResNetV2 SE","iNaturalist","IncResNetV2 SE","87.5","Top 5 Accuracy"
