"method","source","description"
"GAT","GAT","Graphite: Iterative Generative Modeling of Graphs"
"MTGAE","MTGAE","Multi-Task Graph Autoencoders"
"DGI","DGI","Deep Graph Infomax"
"alpha-LoNGAE","alpha-LoNGAE","Learning to Make Predictions on Graphs with Autoencoders"
"GCN","GCN","Semi-Supervised Classification with Graph Convolutional Networks"
"ChebNet","ChebNet","Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering"
"Planetoid*","Planetoid*","Revisiting Semi-Supervised Learning with Graph Embeddings"
"DeepWalk","DeepWalk","DeepWalk: Online Learning of Social Representations"
"GraphGAN","GraphGAN","GraphGAN: Graph Representation Learning with Generative Adversarial Nets"
"Struc2vec","Struc2vec","struc2vec: Learning Node Representations from Structural Identity"
"node2vec","node2vec","node2vec: Scalable Feature Learning for Networks"
"LINE","LINE","LINE: Large-scale Information Network Embedding"
"Context Based Model","Context Based Model","Context Based Approach for Second Language Acquisition"
"BERT + Small Training","BERT + Small Training","Passage Re-ranking with BERT"
"Duet v2","Duet v2","An Updated Duet Model for Passage Re-ranking"
"Cosine similarity function + C128F feature extractor","Cosine similarity function + C128F feature extractor","Dynamic Few-Shot Visual Learning without Forgetting"
"Prototypical-Nets + C64F feature extractor","Prototypical-Nets + C64F feature extractor","Prototypical Networks for Few-shot Learning"
"MAML++","MAML++","How to train your MAML"
"Baseline++","Baseline++","A Closer Look at Few-shot Classification"
"Reptile + Transduction","Reptile + Transduction","On First-Order Meta-Learning Algorithms"
"MAML","MAML","Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks"
"Matching Nets + C64F feature extractor","Matching Nets + C64F feature extractor","Matching Networks for One Shot Learning"
"Prototypical-Nets","Prototypical-Nets","Prototypical Networks for Few-shot Learning"
"Memory Mod","Memory Mod","Learning to Remember Rare Events"
"Neural Statistician","Neural Statistician","Towards a Neural Statistician"
"Matching Nets","Matching Nets","Matching Networks for One Shot Learning"
"SJE","SJE","Evaluation of Output Embeddings for Fine-Grained Image Classification"
"Sample Clustering","Sample Clustering","Learning Deep Parsimonious Representations"
"Cosine similarity function + C64F feature extractor","Cosine similarity function + C64F feature extractor","Dynamic Few-Shot Visual Learning without Forgetting"
"PLATIPUS","PLATIPUS","Probabilistic Model-Agnostic Meta-Learning"
"NAN","NAN","Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing"
"MH-Parser","MH-Parser","Multiple-Human Parsing in the Wild"
"Holistic instance-level","Holistic instance-level","Holistic, Instance-Level Human Parsing"
"MNC","MNC","Instance-aware Semantic Segmentation via Multi-task Network Cascades"
"DL","DL","Semantic Instance Segmentation with a Discriminative Loss Function"
"LPRNet basic","LPRNet basic","LPRNet: License Plate Recognition via Deep Neural Networks"
"HorizonNet","HorizonNet","HorizonNet: Learning Room Layout with 1D Representation and Pano Stretch Data Augmentation"
"CFL","CFL","Corners for Layout: End-to-End Layout Recovery from 360 Images"
"DuLa-Net","DuLa-Net","DuLa-Net: A Dual-Projection Network for Estimating Room Layouts from a Single RGB Panorama"
"LayoutNet","LayoutNet","LayoutNet: Reconstructing the 3D Room Layout from a Single RGB Image"
"Scan2CAD","Scan2CAD","Scan2CAD: Learning CAD Model Alignment in RGB-D Scans"
"3DMatch","3DMatch","3DMatch: Learning Local Geometric Descriptors from RGB-D Reconstructions"
"Graph2Seq-PGE","Graph2Seq-PGE","Graph2Seq: Graph to Sequence Learning with Attention-based Neural Networks"
"GGS-NN","GGS-NN","Gated Graph Sequence Neural Networks"
"Massively Multilingual Sentence Embeddings","Massively Multilingual Sentence Embeddings","Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond"
"Multilingual Sentence Embeddings","Multilingual Sentence Embeddings","Margin-based Parallel Corpus Mining with Multilingual Sentence Embeddings"
"Monolingual training data","Monolingual training data","Improving Neural Machine Translation Models with Monolingual Data"
"Transfer Learning from VGG16 trained on Imagenet","Transfer Learning from VGG16 trained on Imagenet","Document Image Classification with Intra-Domain Transfer Learning and Stacked Generalization of Deep Convolutional Neural Networks"
"Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50","Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50","Cutting the Error by Half: Investigation of Very Deep CNN and Advanced Training Strategies for Document Image Classification"
"AlexNet + spatial pyramidal pooling + image resizing","AlexNet + spatial pyramidal pooling + image resizing","Analysis of Convolutional Neural Networks for Document Image Classification"
"Document section-based models + AlexNet transfer learning","Document section-based models + AlexNet transfer learning","Evaluation of Deep Convolutional Nets for Document Image Classification and Retrieval"
"IIC","IIC","Invariant Information Clustering for Unsupervised Image Classification and Segmentation"
"BN LSTM","BN LSTM","Recurrent Batch Normalization"
"Dilated GRU","Dilated GRU","Dilated Recurrent Neural Networks"
"Full-capacity uRNN","Full-capacity uRNN","Full-Capacity Unitary Recurrent Neural Networks"
"LSTM","LSTM","Unitary Evolution Recurrent Neural Networks"
"iRNN","iRNN","A Simple Way to Initialize Recurrent Networks of Rectified Linear Units"
"St-SS-pGRU","St-SS-pGRU","Shorten Spatial-spectral RNN with Parallel-GRU for Hyperspectral Image Classification"
"BASSNet","BASSNet","BASS Net: Band-Adaptive Spectral-Spatial Feature Learning Neural Network for Hyperspectral Image Classification"
"CNN-MRF","CNN-MRF","Hyperspectral Image Classification with Markov Random Fields and a Convolutional Neural Network"
"PC-DenseNet-161","PC-DenseNet-161","Pairwise Confusion for Fine-Grained Visual Classification"
"PC Bilinear CNN","PC Bilinear CNN","Pairwise Confusion for Fine-Grained Visual Classification"
" AutoAugment"," AutoAugment","AutoAugment: Learning Augmentation Policies from Data"
"AutoAugment","AutoAugment","AutoAugment: Learning Augmentation Policies from Data"
"WS-DAN","WS-DAN","See Better Before Looking Closer: Weakly Supervised Data Augmentation Network for Fine-Grained Visual Classification"
"MPN-COV","MPN-COV","Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization"
"A3M","A3M","Attribute-Aware Attention Model for Fine-grained Representation Learning"
"GoogLeNet","GoogLeNet","A Large-Scale Car Dataset for Fine-Grained Categorization and Verification"
"AlexNet","AlexNet","A Large-Scale Car Dataset for Fine-Grained Categorization and Verification"
"Inception-V3","Inception-V3","Large Scale Fine-Grained Categorization and Domain-Specific Transfer Learning"
"Hierarchical Semantic Embedding","Hierarchical Semantic Embedding","Fine-Grained Representation Learning and Recognition by Exploiting Hierarchical Semantic Embedding"
"RA-CNN","RA-CNN","Look Closer to See Better: Recurrent Attention Convolutional Neural Network for Fine-Grained Image Recognition"
"Bilinear-CNN","Bilinear-CNN","Bilinear CNN Models for Fine-Grained Visual Recognition"
"PS-CNN","PS-CNN","Part-Stacked CNN for Fine-Grained Visual Categorization"
"Part RCNN","Part RCNN","Part-based R-CNNs for Fine-grained Category Detection"
"SWSA","SWSA","There Are Many Consistent Explanations of Unlabeled Data: Why You Should Average"
"Mean Teacher","Mean Teacher","Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results"
"VAT+EntMin","VAT+EntMin","Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Supervised Learning"
"VAT","VAT","Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Supervised Learning"
"Pi Model","Pi Model","Temporal Ensembling for Semi-Supervised Learning"
"GAN","GAN","Improved Techniques for Training GANs"
"G-model","G-model","Semi-Supervised Learning with Ladder Networks"
"GPIPE + transfer learning","GPIPE + transfer learning","GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism"
"Proxyless-G + co","Proxyless-G + co","ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware"
"SENet + ShakeShake + Cutout","SENet + ShakeShake + Cutout","Squeeze-and-Excitation Networks"
"WRN + fixup init + mixup + cutout","WRN + fixup init + mixup + cutout","Fixup Initialization: Residual Learning Without Normalization"
"ShakeShake-2x64d + SWA","ShakeShake-2x64d + SWA","Averaging Weights Leads to Wider Optima and Better Generalization"
"WRN-28-10 + SWA","WRN-28-10 + SWA","Averaging Weights Leads to Wider Optima and Better Generalization"
"Deep pyramidal residual network","Deep pyramidal residual network","Deep Pyramidal Residual Networks"
"CoPaNet-R-164","CoPaNet-R-164","Deep Competitive Pathway Networks"
"DenseNet","DenseNet","Densely Connected Convolutional Networks"
"Fractional MP","Fractional MP","Fractional Max-Pooling"
"Neural Architecture Search","Neural Architecture Search","Neural Architecture Search with Reinforcement Learning"
"SimpleNetv2","SimpleNetv2","Towards Principled Design of Deep Convolutional Networks: Introducing SimpNet"
"Wide ResNet","Wide ResNet","Wide Residual Networks"
"Evolution ensemble","Evolution ensemble","Large-Scale Evolution of Image Classifiers"
"ACN","ACN","Striving for Simplicity: The All Convolutional Net"
"SimpleNetv1","SimpleNetv1","Lets keep it simple, Using simple architectures to outperform deeper and more complex architectures"
"ResNet-1001","ResNet-1001","Identity Mappings in Deep Residual Networks"
"Stochastic Depth","Stochastic Depth","Deep Networks with Stochastic Depth"
"RL+NT","RL+NT","Efficient Architecture Search by Network Transformation"
"Evolution","Evolution","Large-Scale Evolution of Image Classifiers"
"Deep Complex","Deep Complex","Deep Complex Networks"
"ResNet+ELU","ResNet+ELU","Deep Residual Networks with Exponential Linear Unit"
"Fitnet4-LSUV","Fitnet4-LSUV","All you need is a good init"
"Tree+Max-Avg pooling","Tree+Max-Avg pooling","Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree"
"SSCNN","SSCNN","Spatially-sparse convolutional neural networks"
"Tuned CNN","Tuned CNN","Scalable Bayesian Optimization Using Deep Neural Networks"
"ResNet","ResNet","Deep Residual Learning for Image Recognition"
"Exponential Linear Units","Exponential Linear Units","Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs)"
"BNM NiN","BNM NiN","Batch-normalized Maxout Network in Network"
"Universum Prescription","Universum Prescription","Universum Prescription: Regularization using Unlabeled Data"
"CMsC","CMsC","Competitive Multi-scale Convolution"
"RCNN-96","RCNN-96",""
"NiN+APL","NiN+APL","Learning Activation Functions to Improve Deep Neural Networks"
"cifar.torch","cifar.torch",""
"VDN","VDN","Training Very Deep Networks"
"SWWAE","SWWAE","Stacked What-Where Auto-encoders"
"MLR DNN","MLR DNN",""
"DSN","DSN","Deeply-Supervised Nets"
"BinaryConnect","BinaryConnect","BinaryConnect: Training Deep Neural Networks with binary weights during propagations"
"CLS-GAN","CLS-GAN","Loss-Sensitive Generative Adversarial Networks on Lipschitz Densities"
"MIM","MIM","On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units"
"Spectral Representations for Convolutional Neural Networks","Spectral Representations for Convolutional Neural Networks","Spectral Representations for Convolutional Neural Networks"
"RMDL","RMDL","RMDL: Random Multimodel Deep Learning for Classification"
"NiN","NiN","Network In Network"
"ELC","ELC",""
"Deep Networks with Internal Selective Attention through Feedback Connections","Deep Networks with Internal Selective Attention through Feedback Connections","Deep Networks with Internal Selective Attention through Feedback Connections"
"DropConnect","DropConnect",""
"Maxout Network (k=2)","Maxout Network (k=2)","Maxout Networks"
"DNN+Probabilistic Maxout","DNN+Probabilistic Maxout","Improving Deep Neural Networks with Probabilistic Maxout Units"
"GP EI","GP EI","Practical Bayesian Optimization of Machine Learning Algorithms"
"APAC","APAC","APAC: Augmented PAttern Classification with Neural Networks"
"DCNN+GFE","DCNN+GFE","Deep Convolutional Neural Networks as Generic Feature Extractors"
"DCNN","DCNN","ImageNet Classification with Deep Convolutional Neural Networks"
"RReLU","RReLU","Empirical Evaluation of Rectified Activations in Convolutional Network"
"MCDNN","MCDNN","Multi-column Deep Neural Networks for Image Classification"
"ReNet","ReNet","ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks"
"An Analysis of Unsupervised Pre-training in Light of Recent Advances","An Analysis of Unsupervised Pre-training in Light of Recent Advances","An Analysis of Unsupervised Pre-training in Light of Recent Advances"
"Stochastic Pooling","Stochastic Pooling","Stochastic Pooling for Regularization of Deep Convolutional Neural Networks"
"Improving neural networks by preventing co-adaptation of feature detectors","Improving neural networks by preventing co-adaptation of feature detectors","Improving neural networks by preventing co-adaptation of feature detectors"
"Discriminative Learning of Sum-Product Networks","Discriminative Learning of Sum-Product Networks",""
"Nonnegativity Constraints ","Nonnegativity Constraints ",""
"Local Transformations","Local Transformations",""
"CKN","CKN","Convolutional Kernel Networks"
"Discriminative Unsupervised Feature Learning with Convolutional Neural Networks","Discriminative Unsupervised Feature Learning with Convolutional Neural Networks","Discriminative Unsupervised Feature Learning with Convolutional Neural Networks"
"Hierarchical Kernel Descriptors","Hierarchical Kernel Descriptors",""
"Smooth Pooling Regions","Smooth Pooling Regions",""
"Learning with Recursive Perceptual Representations","Learning with Recursive Perceptual Representations","Learning with Recursive Perceptual Representations"
"An Analysis of Single-Layer Networks in Unsupervised Feature Learning ","An Analysis of Single-Layer Networks in Unsupervised Feature Learning ",""
"PCANet","PCANet","PCANet: A Simple Deep Learning Baseline for Image Classification?"
"FLSCNN","FLSCNN","Enhanced Image Classification With a Fast-Learning Shallow Convolutional Neural Network"
"IncResNetV2 SE","IncResNetV2 SE","The iNaturalist Species Classification and Detection Dataset"
"CapsNet","CapsNet","Dynamic Routing Between Capsules"
"GPIPE","GPIPE","GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism"
"SENet + ShakeEven + Cutout","SENet + ShakeEven + Cutout","Squeeze-and-Excitation Networks"
"PyramidNet-272 + SWA","PyramidNet-272 + SWA","Averaging Weights Leads to Wider Optima and Better Generalization"
"WRN+SWA","WRN+SWA","Averaging Weights Leads to Wider Optima and Better Generalization"
"NiN+Superclass+CDJ","NiN+Superclass+CDJ","Deep Convolutional Decision Jungle for Image Classification"
"HD-CNN","HD-CNN","HD-CNN: Hierarchical Deep Convolutional Neural Network for Large Scale Visual Recognition"
"Deep Representation Learning with Target Coding","Deep Representation Learning with Target Coding",""
"Tree Priors","Tree Priors","Discriminative Transfer Learning with Tree-based Priors"
"Stable and Efficient Representation Learning with Nonnegativity Constraints ","Stable and Efficient Representation Learning with Nonnegativity Constraints ",""
"Receptive Field Learning","Receptive Field Learning",""
"Cutout","Cutout","Improved Regularization of Convolutional Neural Networks with Cutout"
"CC-GAN²","CC-GAN²","Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks"
"Convolutional Clustering","Convolutional Clustering","Convolutional Clustering for Unsupervised Learning"
"Multi-Task Bayesian Optimization","Multi-Task Bayesian Optimization","Multi-Task Bayesian Optimization"
"C-SVDDNet","C-SVDDNet","Unsupervised Feature Learning with C-SVDDNet"
"DFF Committees","DFF Committees","Committees of deep feedforward networks trained with few data"
"RGB-D Based Object Recognition","RGB-D Based Object Recognition",""
"Simulated Fixations","Simulated Fixations",""
"No more meta-parameter tuning in unsupervised sparse feature learning","No more meta-parameter tuning in unsupervised sparse feature learning","No more meta-parameter tuning in unsupervised sparse feature learning"
"Receptive Fields","Receptive Fields",""
"Invariant Representations with Local Transformations","Invariant Representations with Local Transformations",""
"Pooling-Invariant","Pooling-Invariant",""
"Deep Learning of Invariant Features via Simulated Fixations in Video","Deep Learning of Invariant Features via Simulated Fixations in Video",""
"Large FC CRF","Large FC CRF",""
"Harmony Potentials","Harmony Potentials",""
"Describing the Scene as a Whole: Joint Object Detection, Scene Classification and Semantic Segmentation","Describing the Scene as a Whole: Joint Object Detection, Scene Classification and Semantic Segmentation",""
"MPP","MPP",""
"FC CRF","FC CRF",""
"HCRF+CO","HCRF+CO",""
"Are Spatial and Global Constraints Really Necessary for Segmentation?","Are Spatial and Global Constraints Really Necessary for Segmentation?",""
"Kernelized SSVMCRF","Kernelized SSVMCRF",""
"PMG","PMG",""
"Auto-Context","Auto-Context",""
"STF","STF",""
"TextonBoost","TextonBoost",""
"PatchMatchGraph","PatchMatchGraph",""
"EraseReLU","EraseReLU","EraseReLU: A Simple Way to Ease the Training of Deep Convolution Neural Networks"
"Regularization of Neural Networks using DropConnect","Regularization of Neural Networks using DropConnect",""
"FractalNet","FractalNet","FractalNet: Ultra-Deep Neural Networks without Residuals"
"DCNN","DCNN","Multi-digit Number Recognition from Street View Imagery using Deep Convolutional Neural Networks"
"Network in Network","Network in Network","Network In Network"
"Maxout","Maxout","Maxout Networks"
"Convolutional neural networks applied to house numbers digit classification","Convolutional neural networks applied to house numbers digit classification",""
"AmoebaNet-A","AmoebaNet-A","Regularized Evolution for Image Classifier Architecture Search"
"NASNET-A(6)","NASNET-A(6)","Learning Transferable Architectures for Scalable Image Recognition"
"SENet","SENet","Squeeze-and-Excitation Networks"
"DPN-131","DPN-131","Dual Path Networks"
"PolyNet","PolyNet","PolyNet: A Pursuit of Structural Diversity in Very Deep Networks"
"ResNeXt-101","ResNeXt-101","Aggregated Residual Transformations for Deep Neural Networks"
"Inception ResNet V2","Inception ResNet V2","Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning"
"JFT-300M Finetuning","JFT-300M Finetuning","Revisiting Unreasonable Effectiveness of Data in Deep Learning Era"
"Xception","Xception","Xception: Deep Learning with Depthwise Separable Convolutions"
"ResNet-152 + SWA","ResNet-152 + SWA","Averaging Weights Leads to Wider Optima and Better Generalization"
"Inception V3","Inception V3","Rethinking the Inception Architecture for Computer Vision"
"DenseNet-161 + SWA","DenseNet-161 + SWA","Averaging Weights Leads to Wider Optima and Better Generalization"
"Inception V2","Inception V2","Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift"
"ShuffleNet","ShuffleNet","ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices"
"MobileNet-224","MobileNet-224","MobileNets: Efficient Convolutional Neural Networks for Mobile Vision Applications"
"Inception V1","Inception V1","Going Deeper with Convolutions"
"SE-ResNet152  WMW","SE-ResNet152  WMW",""
"Trimps-Soushen","Trimps-Soushen",""
"MSRA","MSRA",""
"VGG","VGG",""
"Clarifai","Clarifai",""
"AlexNet  SuperVision","AlexNet  SuperVision",""
"XRCE","XRCE",""
"NEC UIUC","NEC UIUC",""
"Random Erasing","Random Erasing","Random Erasing Data Augmentation"
"DBSNN","DBSNN",""
"Fitnet-LSUV-SVM","Fitnet-LSUV-SVM","All you need is a good init"
"Energy-Based Sparse Represenation","Energy-Based Sparse Represenation",""
"Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis","Best Practices for Convolutional Neural Networks Applied to Visual Document Analysis",""
"HOPE","HOPE","Hybrid Orthogonal Projection and Estimation (HOPE): A New Framework to Probe and Learn Neural Networks"
"Maxout Networks","Maxout Networks","Maxout Networks"
"COSFIRE","COSFIRE",""
"The Best Multi-Stage Architecture","The Best Multi-Stage Architecture",""
"Deformation Models","Deformation Models",""
"Trainable feature extractor","Trainable feature extractor",""
"ISVM","ISVM",""
"Sparse Coding","Sparse Coding",""
"invariant feature hierarchies","invariant feature hierarchies",""
"Shape contexts","Shape contexts",""
"CNN+Gabor Filters","CNN+Gabor Filters",""
"On Optimization Methods for Deep Learning","On Optimization Methods for Deep Learning",""
"Deep Fried Convnets","Deep Fried Convnets","Deep Fried Convnets"
"Sparse Activity and Sparse Connectivity in Supervised Learning","Sparse Activity and Sparse Connectivity in Supervised Learning","Sparse Activity and Sparse Connectivity in Supervised Learning"
"Explaining and Harnessing Adversarial Examples","Explaining and Harnessing Adversarial Examples","Explaining and Harnessing Adversarial Examples"
"CDBN","CDBN",""
"Supervised Translation-Invariant Sparse Coding","Supervised Translation-Invariant Sparse Coding",""
"Large-Margin kNN","Large-Margin kNN",""
"Deep Boltzmann Machines","Deep Boltzmann Machines",""
"StrongNet","StrongNet",""
"DBN","DBN",""
"CNN","CNN",""
"Reducing the dimensionality of data with neural networks","Reducing the dimensionality of data with neural networks",""
"Deep learning via semi-supervised embedding","Deep learning via semi-supervised embedding",""
"Counterfactual Regression + WASS","Counterfactual Regression + WASS","Estimating individual treatment effect: generalization bounds and algorithms"
"TARNet","TARNet","Estimating individual treatment effect: generalization bounds and algorithms"
"OLS with separate regressors for each treatment ","OLS with separate regressors for each treatment ","Estimating individual treatment effect: generalization bounds and algorithms"
"BART","BART","Estimating individual treatment effect: generalization bounds and algorithms"
"Causal Forest","Causal Forest","Estimating individual treatment effect: generalization bounds and algorithms"
"Balancing Neural Network","Balancing Neural Network","Estimating individual treatment effect: generalization bounds and algorithms"
"k-NN","k-NN","Estimating individual treatment effect: generalization bounds and algorithms"
"Balancing Linear Regression","Balancing Linear Regression","Estimating individual treatment effect: generalization bounds and algorithms"
"OLS with treatments as a feature","OLS with treatments as a feature","Estimating individual treatment effect: generalization bounds and algorithms"
"Random Forest","Random Forest","Estimating individual treatment effect: generalization bounds and algorithms"
"DCRNN","DCRNN","Diffusion Convolutional Recurrent Neural Network: Data-Driven Traffic Forecasting"
"MT-DNN","MT-DNN","Multi-Task Deep Neural Networks for Natural Language Understanding"
"DIIN","DIIN","Natural Language Inference over Interaction Space"
"Bi-CAS-LSTM","Bi-CAS-LSTM","Cell-aware Stacked LSTMs for Modeling Sentences"
"pt-DecAtt","pt-DecAtt","Neural Paraphrase Identification of Questions with Noisy Pretraining"
"BiMPM","BiMPM","Bilateral Multi-Perspective Matching for Natural Language Sentences"
"GenSen","GenSen","Learning General Purpose Distributed Sentence Representations via Large Scale Multi-task Learning"
"Linear FullPosterior-MR","Linear FullPosterior-MR","Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling"
"NeuralLinear FullPosterior-MR","NeuralLinear FullPosterior-MR","Deep Bayesian Bandits Showdown: An Empirical Comparison of Bayesian Deep Networks for Thompson Sampling"
"SwiDeN","SwiDeN","SwiDeN : Convolutional Neural Networks For Depiction Invariant Object Recognition"
"MVCNN-MultiRes","MVCNN-MultiRes","Volumetric and Multi-View CNNs for Object Classification on 3D Data"
"FPNN (4-FCs + NF)","FPNN (4-FCs + NF)","FPNN: Field Probing Neural Networks for 3D Data"
"Variational Shape Learner","Variational Shape Learner","Learning a Hierarchical Latent-Variable Model of 3D Shapes"
"Parsing R-CNN + ResNext101","Parsing R-CNN + ResNext101","Parsing R-CNN for Instance-Level Human Analysis"
"PGN + ResNet101","PGN + ResNet101","Instance-level Human Parsing via Part Grouping Network"
"BERTSUM","BERTSUM","Fine-tune BERT for Extractive Summarization"
"BERTSUM+Transformer","BERTSUM+Transformer","Fine-tune BERT for Extractive Summarization"
"Bottom-Up Sum","Bottom-Up Sum","Bottom-Up Abstractive Summarization"
"C2F + ALTERNATE","C2F + ALTERNATE","Coarse-to-Fine Attention Models for Document Summarization"
"GPT-2","GPT-2","Language Models are Unsupervised Multitask Learners"
"EndDec+WFE","EndDec+WFE","Cutting-off Redundant Repeating Generations for Neural Abstractive Summarization"
"DRGD","DRGD","Deep Recurrent Generative Decoder for Abstractive Text Summarization"
"Seq2seq + selective + MTL + ERAM","Seq2seq + selective + MTL + ERAM","Ensure the Correctness of the Summary: Incorporate Entailment Knowledge into Abstractive Sentence Summarization"
"SEASS","SEASS","Selective Encoding for Abstractive Sentence Summarization"
"RAS-Elman","RAS-Elman","Abstractive Sentence Summarization with Attentive Recurrent Neural Networks"
"words-lvt5k-1sent","words-lvt5k-1sent","Abstractive Text Summarization Using Sequence-to-Sequence RNNs and Beyond"
"ABS+","ABS+",""
"ABS","ABS",""
"FTSum_g","FTSum_g","Faithful to the Original: Fact Aware Neural Abstractive Summarization"
"Re^3 Sum","Re^3 Sum","Retrieve, Rerank and Rewrite: Soft Template Based Neural Summarization"
"Seq2seq + E2T_cnn","Seq2seq + E2T_cnn","Entity Commonsense Representation for Neural Abstractive Summarization"
"CGU","CGU","Global Encoding for Abstractive Summarization"
"Pointer + Coverage + EntailmentGen + QuestionGen","Pointer + Coverage + EntailmentGen + QuestionGen","Soft Layer-Specific Multi-Task Summarization with Entailment and Question Generation"
"Struct+2Way+Word","Struct+2Way+Word","Structure-Infused Copy Mechanisms for Abstractive Summarization"
"RT-GENE 4 model ensemble","RT-GENE 4 model ensemble","RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments"
"RT-GENE 2 model ensemble","RT-GENE 2 model ensemble","RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments"
"RT-GENE single model","RT-GENE single model","RT-GENE: Real-Time Eye Gaze Estimation in Natural Environments"
"CapsGNN","CapsGNN","Capsule Graph Neural Network"
"PSCN","PSCN","Learning Convolutional Neural Networks for Graphs"
"AWE","AWE","Anonymous Walk Embeddings"
"GCAPS-CNN","GCAPS-CNN","Graph Capsule Convolutional Neural Networks"
"Regularized Deep Regressor","Regularized Deep Regressor","Regularizing Face Verification Nets For Pain Intensity Regression"
