"name","link","description","date"
"node2vec","http://arxiv.org/abs/1607.00653v1","node2vec: Scalable Feature Learning for Networks","2016-07-03"
"LINE","http://arxiv.org/abs/1503.03578v1","LINE: Large-scale Information Network Embedding","2015-03-12"
"Context Based Model","https://aclanthology.coli.uni-saarland.de/papers/W18-0524/w18-0524","Context Based Approach for Second Language Acquisition","2018-06-01"
"BERT + Small Training","http://arxiv.org/abs/1901.04085v4","Passage Re-ranking with BERT","2019-01-13"
"Duet v2","http://arxiv.org/abs/1903.07666v1","An Updated Duet Model for Passage Re-ranking","2019-03-18"
"Cosine similarity function + C128F feature extractor","http://arxiv.org/abs/1804.09458v1","Dynamic Few-Shot Visual Learning without Forgetting","2018-04-25"
"Prototypical-Nets + C64F feature extractor","http://arxiv.org/abs/1703.05175v2","Prototypical Networks for Few-shot Learning","2017-03-15"
"MAML++","http://arxiv.org/abs/1810.09502v3","How to train your MAML","2018-10-22"
"Baseline++","https://openreview.net/forum?id=HkxLXnAcFQ","A Closer Look at Few-shot Classification","2019-05-01"
"Reptile + Transduction","http://arxiv.org/abs/1803.02999v3","On First-Order Meta-Learning Algorithms","2018-03-08"
"MAML","http://arxiv.org/abs/1703.03400v3","Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks","2017-03-09"
"Matching Nets + C64F feature extractor","http://arxiv.org/abs/1606.04080v2","Matching Networks for One Shot Learning","2016-06-13"
"Prototypical-Nets","http://arxiv.org/abs/1703.05175v2","Prototypical Networks for Few-shot Learning","2017-03-15"
"Memory Mod","http://arxiv.org/abs/1703.03129v1","Learning to Remember Rare Events","2017-03-09"
"Neural Statistician","http://arxiv.org/abs/1606.02185v2","Towards a Neural Statistician","2016-06-07"
"Matching Nets","http://arxiv.org/abs/1606.04080v2","Matching Networks for One Shot Learning","2016-06-13"
"SJE","http://arxiv.org/abs/1409.8403v2","Evaluation of Output Embeddings for Fine-Grained Image Classification","2014-09-30"
"Sample Clustering","http://papers.nips.cc/paper/6263-learning-deep-parsimonious-representations","Learning Deep Parsimonious Representations",""
"Cosine similarity function + C64F feature extractor","http://arxiv.org/abs/1804.09458v1","Dynamic Few-Shot Visual Learning without Forgetting","2018-04-25"
"PLATIPUS","http://arxiv.org/abs/1806.02817v1","Probabilistic Model-Agnostic Meta-Learning","2018-06-07"
"NAN","http://arxiv.org/abs/1804.03287v3","Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing","2018-04-10"
"MH-Parser","http://arxiv.org/abs/1705.07206v2","Multiple-Human Parsing in the Wild","2017-05-19"
"Holistic instance-level","http://arxiv.org/abs/1709.03612v1","Holistic, Instance-Level Human Parsing","2017-09-11"
"MNC","http://arxiv.org/abs/1512.04412v1","Instance-aware Semantic Segmentation via Multi-task Network Cascades","2015-12-14"
"DL","http://arxiv.org/abs/1708.02551v1","Semantic Instance Segmentation with a Discriminative Loss Function","2017-08-08"
"LPRNet basic","http://arxiv.org/abs/1806.10447v1","LPRNet: License Plate Recognition via Deep Neural Networks","2018-06-27"
"HorizonNet","http://arxiv.org/abs/1901.03861v1","HorizonNet: Learning Room Layout with 1D Representation and Pano Stretch Data Augmentation","2019-01-12"
"CFL","http://arxiv.org/abs/1903.08094v2","Corners for Layout: End-to-End Layout Recovery from 360 Images","2019-03-19"
"DuLa-Net","http://arxiv.org/abs/1811.11977v2","DuLa-Net: A Dual-Projection Network for Estimating Room Layouts from a Single RGB Panorama","2018-11-29"
"LayoutNet","http://arxiv.org/abs/1803.08999v1","LayoutNet: Reconstructing the 3D Room Layout from a Single RGB Image","2018-03-23"
"Scan2CAD","http://arxiv.org/abs/1811.11187v1","Scan2CAD: Learning CAD Model Alignment in RGB-D Scans","2018-11-27"
"3DMatch","http://arxiv.org/abs/1603.08182v3","3DMatch: Learning Local Geometric Descriptors from RGB-D Reconstructions","2016-03-27"
"Graph2Seq-PGE","http://arxiv.org/abs/1804.00823v4","Graph2Seq: Graph to Sequence Learning with Attention-based Neural Networks","2018-04-03"
"GGS-NN","http://arxiv.org/abs/1511.05493v4","Gated Graph Sequence Neural Networks","2015-11-17"
"Massively Multilingual Sentence Embeddings","http://arxiv.org/abs/1812.10464v1","Massively Multilingual Sentence Embeddings for Zero-Shot Cross-Lingual Transfer and Beyond","2018-12-26"
"Multilingual Sentence Embeddings","http://arxiv.org/abs/1811.01136v1","Margin-based Parallel Corpus Mining with Multilingual Sentence Embeddings","2018-11-03"
"Monolingual training data","http://arxiv.org/abs/1511.06709v4","Improving Neural Machine Translation Models with Monolingual Data","2015-11-20"
"Transfer Learning from VGG16 trained on Imagenet","http://arxiv.org/abs/1801.09321v3","Document Image Classification with Intra-Domain Transfer Learning and Stacked Generalization of Deep Convolutional Neural Networks","2018-01-29"
"Transfer Learning from AlexNet, VGG-16, GoogLeNet and ResNet50","http://arxiv.org/abs/1704.03557v1","Cutting the Error by Half: Investigation of Very Deep CNN and Advanced Training Strategies for Document Image Classification","2017-04-11"
"AlexNet + spatial pyramidal pooling + image resizing","http://arxiv.org/abs/1708.03273v1","Analysis of Convolutional Neural Networks for Document Image Classification","2017-08-10"
"Document section-based models + AlexNet transfer learning","http://arxiv.org/abs/1502.07058v1","Evaluation of Deep Convolutional Nets for Document Image Classification and Retrieval","2015-02-25"
"IIC","https://arxiv.org/abs/1807.06653","Invariant Information Clustering for Unsupervised Image Classification and Segmentation","2019-03-26"
"BN LSTM","http://arxiv.org/abs/1603.09025v5","Recurrent Batch Normalization","2016-03-30"
"Dilated GRU","http://arxiv.org/abs/1710.02224v3","Dilated Recurrent Neural Networks","2017-10-05"
"Full-capacity uRNN","http://arxiv.org/abs/1611.00035v1","Full-Capacity Unitary Recurrent Neural Networks","2016-10-31"
"LSTM","http://arxiv.org/abs/1511.06464v4","Unitary Evolution Recurrent Neural Networks","2015-11-20"
"iRNN","http://arxiv.org/abs/1504.00941v2","A Simple Way to Initialize Recurrent Networks of Rectified Linear Units","2015-04-03"
"St-SS-pGRU","http://arxiv.org/abs/1810.12563v1","Shorten Spatial-spectral RNN with Parallel-GRU for Hyperspectral Image Classification","2018-10-30"
"BASSNet","http://arxiv.org/abs/1612.00144v2","BASS Net: Band-Adaptive Spectral-Spatial Feature Learning Neural Network for Hyperspectral Image Classification","2016-12-01"
"CNN-MRF","http://arxiv.org/abs/1705.00727v2","Hyperspectral Image Classification with Markov Random Fields and a Convolutional Neural Network","2017-05-01"
"PC-DenseNet-161","http://arxiv.org/abs/1705.08016v3","Pairwise Confusion for Fine-Grained Visual Classification","2017-05-22"
"PC Bilinear CNN","http://arxiv.org/abs/1705.08016v3","Pairwise Confusion for Fine-Grained Visual Classification","2017-05-22"
" AutoAugment","http://arxiv.org/abs/1805.09501v2","AutoAugment: Learning Augmentation Policies from Data","2018-05-24"
"AutoAugment","http://arxiv.org/abs/1805.09501v2","AutoAugment: Learning Augmentation Policies from Data","2018-05-24"
"WS-DAN","http://arxiv.org/abs/1901.09891v2","See Better Before Looking Closer: Weakly Supervised Data Augmentation Network for Fine-Grained Visual Classification","2019-01-26"
"MPN-COV","http://arxiv.org/abs/1712.01034v2","Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization","2017-12-04"
"A3M","http://arxiv.org/abs/1901.00392v1","Attribute-Aware Attention Model for Fine-grained Representation Learning","2019-01-02"
"GoogLeNet","http://arxiv.org/abs/1506.08959v2","A Large-Scale Car Dataset for Fine-Grained Categorization and Verification","2015-06-30"
"AlexNet","http://arxiv.org/abs/1506.08959v2","A Large-Scale Car Dataset for Fine-Grained Categorization and Verification","2015-06-30"
"Inception-V3","http://arxiv.org/abs/1806.06193v1","Large Scale Fine-Grained Categorization and Domain-Specific Transfer Learning","2018-06-16"
"Hierarchical Semantic Embedding","http://arxiv.org/abs/1808.04505v1","Fine-Grained Representation Learning and Recognition by Exploiting Hierarchical Semantic Embedding","2018-08-14"
"RA-CNN","http://openaccess.thecvf.com/content_cvpr_2017/html/Fu_Look_Closer_to_CVPR_2017_paper.html","Look Closer to See Better: Recurrent Attention Convolutional Neural Network for Fine-Grained Image Recognition","2017-07-01"
"Bilinear-CNN","http://openaccess.thecvf.com/content_iccv_2015/html/Lin_Bilinear_CNN_Models_ICCV_2015_paper.html","Bilinear CNN Models for Fine-Grained Visual Recognition","2015-12-01"
"PS-CNN","http://arxiv.org/abs/1512.08086v1","Part-Stacked CNN for Fine-Grained Visual Categorization","2015-12-26"
"Part RCNN","http://arxiv.org/abs/1407.3867v1","Part-based R-CNNs for Fine-grained Category Detection","2014-07-15"
"SWSA","http://arxiv.org/abs/1806.05594v3","There Are Many Consistent Explanations of Unlabeled Data: Why You Should Average","2018-06-14"
"Mean Teacher","http://arxiv.org/abs/1703.01780v6","Mean teachers are better role models: Weight-averaged consistency targets improve semi-supervised deep learning results","2017-03-06"
"VAT+EntMin","http://arxiv.org/abs/1704.03976v2","Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Supervised Learning","2017-04-13"
"VAT","http://arxiv.org/abs/1704.03976v2","Virtual Adversarial Training: A Regularization Method for Supervised and Semi-Supervised Learning","2017-04-13"
"Pi Model","http://arxiv.org/abs/1610.02242v3","Temporal Ensembling for Semi-Supervised Learning","2016-10-07"
"GAN","http://arxiv.org/abs/1606.03498v1","Improved Techniques for Training GANs","2016-06-10"
"G-model","http://arxiv.org/abs/1507.02672v2","Semi-Supervised Learning with Ladder Networks","2015-07-09"
"GPIPE + transfer learning","http://arxiv.org/abs/1811.06965v4","GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism","2018-11-16"
"Proxyless-G + co","http://arxiv.org/abs/1812.00332v2","ProxylessNAS: Direct Neural Architecture Search on Target Task and Hardware","2018-12-02"
"SENet + ShakeShake + Cutout","http://arxiv.org/abs/1709.01507v3","Squeeze-and-Excitation Networks","2017-09-05"
"WRN + fixup init + mixup + cutout","http://arxiv.org/abs/1901.09321v2","Fixup Initialization: Residual Learning Without Normalization","2019-01-27"
"ShakeShake-2x64d + SWA","http://arxiv.org/abs/1803.05407v3","Averaging Weights Leads to Wider Optima and Better Generalization","2018-03-14"
"WRN-28-10 + SWA","http://arxiv.org/abs/1803.05407v3","Averaging Weights Leads to Wider Optima and Better Generalization","2018-03-14"
"Deep pyramidal residual network","http://arxiv.org/abs/1610.02915v4","Deep Pyramidal Residual Networks","2016-10-10"
"CoPaNet-R-164","http://arxiv.org/abs/1709.10282v1","Deep Competitive Pathway Networks","2017-09-29"
"DenseNet","http://arxiv.org/abs/1608.06993v5","Densely Connected Convolutional Networks","2016-08-25"
"Fractional MP","http://arxiv.org/abs/1412.6071v4","Fractional Max-Pooling","2014-12-18"
"Neural Architecture Search","http://arxiv.org/abs/1611.01578v2","Neural Architecture Search with Reinforcement Learning","2016-11-05"
"SimpleNetv2","http://arxiv.org/abs/1802.06205v1","Towards Principled Design of Deep Convolutional Networks: Introducing SimpNet","2018-02-17"
"Wide ResNet","http://arxiv.org/abs/1605.07146v4","Wide Residual Networks","2016-05-23"
"Evolution ensemble","http://arxiv.org/abs/1703.01041v2","Large-Scale Evolution of Image Classifiers","2017-03-03"
"ACN","http://arxiv.org/abs/1412.6806v3","Striving for Simplicity: The All Convolutional Net","2014-12-21"
"SimpleNetv1","http://arxiv.org/abs/1608.06037v7","Lets keep it simple, Using simple architectures to outperform deeper and more complex architectures","2016-08-22"
"ResNet-1001","http://arxiv.org/abs/1603.05027v3","Identity Mappings in Deep Residual Networks","2016-03-16"
"Stochastic Depth","http://arxiv.org/abs/1603.09382v3","Deep Networks with Stochastic Depth","2016-03-30"
"RL+NT","http://arxiv.org/abs/1707.04873v2","Efficient Architecture Search by Network Transformation","2017-07-16"
"Evolution","http://arxiv.org/abs/1703.01041v2","Large-Scale Evolution of Image Classifiers","2017-03-03"
"Deep Complex","http://arxiv.org/abs/1705.09792v4","Deep Complex Networks","2017-05-27"
"ResNet+ELU","http://arxiv.org/abs/1604.04112v4","Deep Residual Networks with Exponential Linear Unit","2016-04-14"
"Fitnet4-LSUV","http://arxiv.org/abs/1511.06422v7","All you need is a good init","2015-11-19"
"Tree+Max-Avg pooling","http://arxiv.org/abs/1509.08985v2","Generalizing Pooling Functions in Convolutional Neural Networks: Mixed, Gated, and Tree","2015-09-30"
"SSCNN","http://arxiv.org/abs/1409.6070v1","Spatially-sparse convolutional neural networks","2014-09-22"
"Tuned CNN","http://arxiv.org/abs/1502.05700v2","Scalable Bayesian Optimization Using Deep Neural Networks","2015-02-19"
"ResNet","http://arxiv.org/abs/1512.03385v1","Deep Residual Learning for Image Recognition","2015-12-10"
"Exponential Linear Units","http://arxiv.org/abs/1511.07289v5","Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs)","2015-11-23"
"BNM NiN","http://arxiv.org/abs/1511.02583v1","Batch-normalized Maxout Network in Network","2015-11-09"
"Universum Prescription","http://arxiv.org/abs/1511.03719v7","Universum Prescription: Regularization using Unlabeled Data","2015-11-11"
"CMsC","http://arxiv.org/abs/1511.05635v1","Competitive Multi-scale Convolution","2015-11-18"
"RCNN-96","","",""
"NiN+APL","http://arxiv.org/abs/1412.6830v3","Learning Activation Functions to Improve Deep Neural Networks","2014-12-21"
"cifar.torch","","",""
"VDN","http://arxiv.org/abs/1507.06228v2","Training Very Deep Networks","2015-07-22"
"SWWAE","http://arxiv.org/abs/1506.02351v8","Stacked What-Where Auto-encoders","2015-06-08"
"MLR DNN","","",""
"DSN","http://arxiv.org/abs/1409.5185v2","Deeply-Supervised Nets","2014-09-18"
"BinaryConnect","http://papers.nips.cc/paper/5647-binaryconnect-training-deep-neural-networks-with-binary-weights-during-propagations","BinaryConnect: Training Deep Neural Networks with binary weights during propagations",""
"CLS-GAN","http://arxiv.org/abs/1701.06264v6","Loss-Sensitive Generative Adversarial Networks on Lipschitz Densities","2017-01-23"
"MIM","http://arxiv.org/abs/1508.00330v2","On the Importance of Normalisation Layers in Deep Learning with Piecewise Linear Activation Units","2015-08-03"
"Spectral Representations for Convolutional Neural Networks","http://papers.nips.cc/paper/5649-spectral-representations-for-convolutional-neural-networks","Spectral Representations for Convolutional Neural Networks",""
"RMDL","http://arxiv.org/abs/1805.01890v2","RMDL: Random Multimodel Deep Learning for Classification","2018-05-03"
"NiN","http://arxiv.org/abs/1312.4400v3","Network In Network","2013-12-16"
"ELC","","",""
"Deep Networks with Internal Selective Attention through Feedback Connections","http://papers.nips.cc/paper/5276-deep-networks-with-internal-selective-attention-through-feedback-connections","Deep Networks with Internal Selective Attention through Feedback Connections",""
"DropConnect","","",""
"Maxout Network (k=2)","http://arxiv.org/abs/1302.4389v4","Maxout Networks","2013-02-18"
"DNN+Probabilistic Maxout","http://arxiv.org/abs/1312.6116v2","Improving Deep Neural Networks with Probabilistic Maxout Units","2013-12-20"
"GP EI","http://papers.nips.cc/paper/4522-practical-bayesian-optimization-of-machine-learning-algorithms","Practical Bayesian Optimization of Machine Learning Algorithms","2012-12-01"
"APAC","http://arxiv.org/abs/1505.03229v1","APAC: Augmented PAttern Classification with Neural Networks","2015-05-13"
"DCNN+GFE","http://arxiv.org/abs/1710.02286v1","Deep Convolutional Neural Networks as Generic Feature Extractors","2017-10-06"
"DCNN","http://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks","ImageNet Classification with Deep Convolutional Neural Networks","2012-12-01"
"RReLU","http://arxiv.org/abs/1505.00853v2","Empirical Evaluation of Rectified Activations in Convolutional Network","2015-05-05"
"MCDNN","http://arxiv.org/abs/1202.2745v1","Multi-column Deep Neural Networks for Image Classification","2012-02-13"
"ReNet","http://arxiv.org/abs/1505.00393v3","ReNet: A Recurrent Neural Network Based Alternative to Convolutional Networks","2015-05-03"
"An Analysis of Unsupervised Pre-training in Light of Recent Advances","http://arxiv.org/abs/1412.6597v4","An Analysis of Unsupervised Pre-training in Light of Recent Advances","2014-12-20"
"Stochastic Pooling","http://arxiv.org/abs/1301.3557v1","Stochastic Pooling for Regularization of Deep Convolutional Neural Networks","2013-01-16"
"Improving neural networks by preventing co-adaptation of feature detectors","http://arxiv.org/abs/1207.0580v1","Improving neural networks by preventing co-adaptation of feature detectors","2012-07-03"
"Discriminative Learning of Sum-Product Networks","","",""
"Nonnegativity Constraints ","","",""
"Local Transformations","","",""
"CKN","http://arxiv.org/abs/1406.3332v2","Convolutional Kernel Networks","2014-06-12"
"Discriminative Unsupervised Feature Learning with Convolutional Neural Networks","http://papers.nips.cc/paper/5548-discriminative-unsupervised-feature-learning-with-convolutional-neural-networks","Discriminative Unsupervised Feature Learning with Convolutional Neural Networks",""
"Hierarchical Kernel Descriptors","","",""
"Smooth Pooling Regions","","",""
"Learning with Recursive Perceptual Representations","http://papers.nips.cc/paper/4747-learning-with-recursive-perceptual-representations","Learning with Recursive Perceptual Representations","2012-12-01"
"An Analysis of Single-Layer Networks in Unsupervised Feature Learning ","","",""
"PCANet","http://arxiv.org/abs/1404.3606v2","PCANet: A Simple Deep Learning Baseline for Image Classification?","2014-04-14"
"FLSCNN","http://arxiv.org/abs/1503.04596v3","Enhanced Image Classification With a Fast-Learning Shallow Convolutional Neural Network","2015-03-16"
"IncResNetV2 SE","http://arxiv.org/abs/1707.06642v2","The iNaturalist Species Classification and Detection Dataset","2017-07-20"
"CapsNet","http://arxiv.org/abs/1710.09829v2","Dynamic Routing Between Capsules","2017-10-26"
"GPIPE","http://arxiv.org/abs/1811.06965v4","GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism","2018-11-16"
"SENet + ShakeEven + Cutout","http://arxiv.org/abs/1709.01507v3","Squeeze-and-Excitation Networks","2017-09-05"
"PyramidNet-272 + SWA","http://arxiv.org/abs/1803.05407v3","Averaging Weights Leads to Wider Optima and Better Generalization","2018-03-14"
"WRN+SWA","http://arxiv.org/abs/1803.05407v3","Averaging Weights Leads to Wider Optima and Better Generalization","2018-03-14"
"NiN+Superclass+CDJ","http://arxiv.org/abs/1706.02003v2","Deep Convolutional Decision Jungle for Image Classification","2017-06-06"
"HD-CNN","http://arxiv.org/abs/1410.0736v4","HD-CNN: Hierarchical Deep Convolutional Neural Network for Large Scale Visual Recognition","2014-10-03"
"Deep Representation Learning with Target Coding","","",""
"Tree Priors","http://papers.nips.cc/paper/5029-discriminative-transfer-learning-with-tree-based-priors","Discriminative Transfer Learning with Tree-based Priors",""
"Stable and Efficient Representation Learning with Nonnegativity Constraints ","","",""
"Receptive Field Learning","","",""
"Cutout","http://arxiv.org/abs/1708.04552v2","Improved Regularization of Convolutional Neural Networks with Cutout","2017-08-15"
"CC-GAN²","http://arxiv.org/abs/1611.06430v1","Semi-Supervised Learning with Context-Conditional Generative Adversarial Networks","2016-11-19"
"Convolutional Clustering","http://arxiv.org/abs/1511.06241v2","Convolutional Clustering for Unsupervised Learning","2015-11-19"
"Multi-Task Bayesian Optimization","http://papers.nips.cc/paper/5086-multi-task-bayesian-optimization","Multi-Task Bayesian Optimization",""
"C-SVDDNet","http://arxiv.org/abs/1412.7259v3","Unsupervised Feature Learning with C-SVDDNet","2014-12-23"
"DFF Committees","http://arxiv.org/abs/1406.5947v1","Committees of deep feedforward networks trained with few data","2014-06-23"
"RGB-D Based Object Recognition","","",""
"Simulated Fixations","","",""
"No more meta-parameter tuning in unsupervised sparse feature learning","http://arxiv.org/abs/1402.5766v1","No more meta-parameter tuning in unsupervised sparse feature learning","2014-02-24"
"Receptive Fields","","",""
"Invariant Representations with Local Transformations","","",""
"Pooling-Invariant","","",""
"Deep Learning of Invariant Features via Simulated Fixations in Video","","",""
"Large FC CRF","","",""
"Harmony Potentials","","",""
"Describing the Scene as a Whole: Joint Object Detection, Scene Classification and Semantic Segmentation","","",""
"MPP","","",""
"FC CRF","","",""
"HCRF+CO","","",""
"Are Spatial and Global Constraints Really Necessary for Segmentation?","","",""
"Kernelized SSVMCRF","","",""
"PMG","","",""
"Auto-Context","","",""
"STF","","",""
"TextonBoost","","",""
"PatchMatchGraph","","",""
"EraseReLU","http://arxiv.org/abs/1709.07634v2","EraseReLU: A Simple Way to Ease the Training of Deep Convolution Neural Networks","2017-09-22"
"Regularization of Neural Networks using DropConnect","","",""
"FractalNet","http://arxiv.org/abs/1605.07648v4","FractalNet: Ultra-Deep Neural Networks without Residuals","2016-05-24"
"DCNN","http://arxiv.org/abs/1312.6082v4","Multi-digit Number Recognition from Street View Imagery using Deep Convolutional Neural Networks","2013-12-20"
"Network in Network","http://arxiv.org/abs/1312.4400v3","Network In Network","2013-12-16"
"Maxout","http://arxiv.org/abs/1302.4389v4","Maxout Networks","2013-02-18"
"Convolutional neural networks applied to house numbers digit classification","","",""
"AmoebaNet-A","http://arxiv.org/abs/1802.01548v7","Regularized Evolution for Image Classifier Architecture Search","2018-02-05"
"NASNET-A(6)","http://arxiv.org/abs/1707.07012v4","Learning Transferable Architectures for Scalable Image Recognition","2017-07-21"
"SENet","http://arxiv.org/abs/1709.01507v3","Squeeze-and-Excitation Networks","2017-09-05"
"DPN-131","http://arxiv.org/abs/1707.01629v2","Dual Path Networks","2017-07-06"
"PolyNet","http://arxiv.org/abs/1611.05725v2","PolyNet: A Pursuit of Structural Diversity in Very Deep Networks","2016-11-17"
"ResNeXt-101","http://arxiv.org/abs/1611.05431v2","Aggregated Residual Transformations for Deep Neural Networks","2016-11-16"
"Inception ResNet V2","http://arxiv.org/abs/1602.07261v2","Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning","2016-02-23"
"JFT-300M Finetuning","http://arxiv.org/abs/1707.02968v2","Revisiting Unreasonable Effectiveness of Data in Deep Learning Era","2017-07-10"
"Xception","http://arxiv.org/abs/1610.02357v3","Xception: Deep Learning with Depthwise Separable Convolutions","2016-10-07"
"ResNet-152 + SWA","http://arxiv.org/abs/1803.05407v3","Averaging Weights Leads to Wider Optima and Better Generalization","2018-03-14"
"Inception V3","http://arxiv.org/abs/1512.00567v3","Rethinking the Inception Architecture for Computer Vision","2015-12-02"
